,Residential,Residential
29169,13.0,16.0
29171,,
29173,,
29175,1.0,1.0
29177,7.0,7.0
29181,,
29183,11.0,12.0
29185,,
29186,,
29187,13.0,15.0
29189,11.0,13.0
29195,0.0,0.0
29197,,
29201,11.0,12.0
29203,,
29205,,
29207,-2.0,-2.0
29209,9.0,9.0
29211,,
29213,13.0,16.0
29215,,
29217,,
29219,16.0,16.0
29221,,
29223,,
29225,16.0,14.0
29229,,
30001,,
30003,,
30005,,
30007,,
30009,,
30013,12.0,11.0
30017,,
30021,,
30023,,
30027,,
30029,10.0,10.0
30031,12.0,12.0
30035,,
30041,,
30043,,
30047,1.0,1.0
30049,18.0,21.0
30053,,
30057,,
30061,,
30063,11.0,10.0
30067,,
30073,,
30077,,
30081,11.0,14.0
30083,,
30085,,
30087,,
30089,,
30093,13.0,16.0
30095,,
30099,,
30105,,
30111,8.0,8.0
31001,13.0,17.0
31003,,
31013,,
31019,17.0,19.0
31021,,
31023,,
31025,12.0,12.0
31027,,
31031,,
31033,,
31035,,
31037,,
31039,,
31041,,
31043,1.0,1.0
31045,,
31047,-2.0,-2.0
31049,,
31051,,
31053,13.0,16.0
31055,9.0,9.0
31059,,
31067,1.0,1.0
31079,12.0,18.0
31081,,
31089,,
31093,,
31095,,
31099,,
31101,,
31105,,
31107,,
31109,8.0,9.0
31111,14.0,15.0
31119,14.0,18.0
31121,,
31123,,
31127,,
31131,,
31137,,
31139,,
31141,15.0,19.0
31143,,
31145,,
31147,,
31151,,
31153,9.0,10.0
31155,,
31157,14.0,17.0
31159,,
31167,,
31169,,
31173,,
31177,,
31179,,
31185,,
32001,5.0,5.0
32003,15.0,16.0
32005,18.0,19.0
32007,17.0,15.0
32013,,
32015,,
32019,15.0,16.0
32021,,
32023,13.0,13.0
32027,,
32029,,
32031,12.0,14.0
32033,,
32510,18.0,19.0
33001,18.0,22.0
33003,19.0,22.0
33005,18.0,22.0
33007,10.0,10.0
33009,20.0,24.0
33011,14.0,12.0
33013,13.0,11.0
33015,14.0,12.0
33017,13.0,10.0
33019,16.0,20.0
34001,16.0,15.0
34003,19.0,18.0
34005,14.0,13.0
34007,13.0,12.0
34009,19.0,19.0
34011,10.0,10.0
34013,17.0,17.0
34015,13.0,12.0
34017,18.0,18.0
34019,28.0,30.0
34021,15.0,14.0
34023,17.0,16.0
34025,17.0,15.0
34027,18.0,17.0
34029,15.0,14.0
34031,16.0,16.0
34033,18.0,19.0
34035,17.0,16.0
34037,15.0,13.0
34039,17.0,17.0
34041,14.0,13.0
35001,11.0,11.0
35005,12.0,11.0
35006,,
35007,,
35009,16.0,15.0
35015,12.0,13.0
35017,2.0,2.0
35019,,
35023,,
35025,13.0,13.0
35027,,
35028,,
35029,,
35031,22.0,19.0
35035,19.0,16.0
35037,,
35039,12.0,12.0
35041,,
35043,11.0,10.0
35045,10.0,10.0
35047,-1.0,-1.0
35049,12.0,11.0
35051,,
35053,,
35055,1.0,1.0
35057,,
35059,,
35061,13.0,12.0
36001,13.0,11.0
36003,18.0,20.0
36005,16.0,16.0
36007,11.0,10.0
36009,18.0,10.0
36011,20.0,22.0
36013,8.0,8.0
36015,14.0,12.0
36017,20.0,22.0
36019,18.0,21.0
36021,19.0,22.0
36023,22.0,23.0
36025,10.0,10.0
36027,14.0,13.0
36029,10.0,10.0
36031,3.0,3.0
36033,17.0,17.0
36035,15.0,18.0
36037,20.0,21.0
36039,17.0,18.0
36043,18.0,20.0
36045,9.0,8.0
36047,18.0,17.0
36049,,
36051,21.0,24.0
36053,22.0,25.0
36055,11.0,11.0
36057,17.0,19.0
36059,19.0,18.0
36061,19.0,18.0
36063,10.0,10.0
36065,10.0,9.0
36067,11.0,11.0
36069,9.0,9.0
36071,15.0,14.0
36073,19.0,21.0
36075,10.0,9.0
36077,19.0,21.0
36079,28.0,32.0
36081,20.0,20.0
36083,12.0,10.0
36085,17.0,16.0
36087,20.0,19.0
36089,11.0,10.0
36091,13.0,11.0
36093,12.0,11.0
36095,3.0,3.0
36097,,
36099,15.0,15.0
36101,10.0,9.0
36103,16.0,16.0
36105,18.0,20.0
36107,19.0,22.0
36109,28.0,31.0
36111,14.0,12.0
36113,18.0,20.0
36115,17.0,20.0
36117,13.0,11.0
36119,18.0,17.0
36121,19.0,17.0
36123,,
37001,9.0,10.0
37003,12.0,15.0
37005,,
37007,,
37009,,
37011,,
37013,13.0,14.0
37015,,
37017,12.0,12.0
37019,8.0,9.0
37021,13.0,12.0
37023,7.0,9.0
37025,12.0,12.0
37027,7.0,9.0
37029,,
37031,8.0,15.0
37033,,
37035,8.0,10.0
37037,17.0,19.0
37039,1.0,1.0
37041,,
37043,,
37045,7.0,9.0
37047,10.0,13.0
37049,7.0,9.0
37051,8.0,10.0
37053,8.0,8.0
37055,12.0,12.0
37057,9.0,9.0
37059,14.0,18.0
37061,11.0,13.0
37063,13.0,13.0
37065,12.0,14.0
37067,11.0,11.0
37069,16.0,17.0
37071,10.0,10.0
37073,,
37075,,
37077,16.0,17.0
37079,,
37081,12.0,11.0
37083,11.0,14.0
37085,8.0,10.0
37087,9.0,16.0
37089,11.0,10.0
37091,,
37093,14.0,16.0
37097,8.0,10.0
37099,15.0,19.0
37101,9.0,11.0
37103,,
37105,14.0,17.0
37107,12.0,12.0
37109,7.0,10.0
37111,12.0,13.0
37113,13.0,14.0
37115,,
37117,,
37119,13.0,13.0
37121,,
37123,-1.0,-1.0
37125,9.0,12.0
37127,7.0,10.0
37129,9.0,11.0
37131,,
37133,7.0,9.0
37135,14.0,14.0
37137,,
37139,14.0,16.0
37141,14.0,16.0
37143,,
37145,15.0,17.0
37147,9.0,10.0
37149,,
37151,8.0,8.0
37153,10.0,11.0
37155,6.0,8.0
37157,8.0,9.0
37159,8.0,9.0
37161,9.0,12.0
37163,11.0,13.0
37165,11.0,12.0
37167,12.0,14.0
37169,12.0,15.0
37171,12.0,14.0
37173,,
37175,6.0,6.0
37179,11.0,12.0
37181,13.0,15.0
37183,13.0,13.0
37185,,
37187,,
37189,17.0,18.0
37191,7.0,9.0
37193,10.0,13.0
37195,7.0,9.0
37197,11.0,16.0
37199,,
38003,,
38009,,
38015,11.0,15.0
38017,12.0,13.0
38025,,
38035,20.0,28.0
38053,,
38055,,
38057,,
38059,17.0,18.0
38061,,
38067,,
38071,,
38073,,
38077,,
38079,,
38089,14.0,16.0
38093,,
38097,,
38099,,
38101,18.0,20.0
38105,14.0,19.0
39001,-2.0,-2.0
39003,10.0,10.0
39005,19.0,18.0
39007,8.0,9.0
39009,20.0,18.0
39011,23.0,20.0
39013,18.0,16.0
39015,19.0,17.0
39017,10.0,11.0
39019,0.0,0.0
39021,22.0,18.0
39023,9.0,9.0
39025,10.0,10.0
39027,22.0,18.0
39029,8.0,9.0
39031,15.0,14.0
39033,19.0,17.0
39035,10.0,11.0
39037,20.0,18.0
39039,23.0,21.0
39041,12.0,13.0
39043,15.0,12.0
39045,10.0,10.0
39047,9.0,9.0
39049,11.0,12.0
39051,24.0,21.0
39053,,
39055,23.0,23.0
39057,11.0,11.0
39059,15.0,14.0
39061,10.0,12.0
39063,25.0,22.0
39065,13.0,13.0
39067,,
39069,13.0,13.0
39071,19.0,15.0
39073,-3.0,-3.0
39075,-1.0,-1.0
39077,19.0,17.0
39079,-1.0,-1.0
39081,15.0,15.0
39083,20.0,18.0
39085,10.0,11.0
39087,16.0,15.0
39089,9.0,10.0
39091,26.0,22.0
39093,10.0,11.0
39095,10.0,10.0
39097,22.0,20.0
39099,9.0,10.0
39101,19.0,16.0
39103,11.0,11.0
39105,,
39107,24.0,21.0
39109,10.0,10.0
39111,,
39113,10.0,11.0
39115,,
39117,20.0,18.0
39119,7.0,9.0
39121,,
39123,21.0,19.0
39125,,
39127,10.0,10.0
39129,20.0,17.0
39131,,
39133,10.0,11.0
39135,22.0,18.0
39137,16.0,16.0
39139,9.0,10.0
39141,17.0,14.0
39143,22.0,20.0
39145,15.0,12.0
39147,23.0,20.0
39149,23.0,20.0
39151,9.0,10.0
39153,10.0,10.0
39155,8.0,9.0
39157,8.0,9.0
39159,30.0,27.0
39161,19.0,17.0
39163,,
39165,11.0,12.0
39167,19.0,16.0
39169,10.0,11.0
39171,23.0,20.0
39173,11.0,10.0
39175,6.0,6.0
40001,,
40005,,
40009,,
40011,,
40013,15.0,18.0
40015,,
40017,10.0,11.0
40019,14.0,17.0
40021,17.0,21.0
40023,,
40027,11.0,12.0
40029,,
40031,9.0,11.0
40033,,
40035,,
40037,10.0,19.0
40039,,
40041,12.0,14.0
40047,13.0,18.0
40049,-4.0,-4.0
40051,16.0,20.0
40055,,
40061,,
40063,,
40065,9.0,9.0
40067,,
40069,,
40071,13.0,17.0
40073,,
40075,,
40077,,
40079,10.0,13.0
40081,12.0,12.0
40083,17.0,20.0
40085,,
40087,17.0,16.0
40089,9.0,7.0
40091,,
40093,,
40095,,
40097,14.0,18.0
40099,,
40101,14.0,17.0
40103,,
40105,,
40107,,
40109,10.0,11.0
40111,13.0,15.0
40113,15.0,19.0
40115,8.0,9.0
40117,,
40119,18.0,22.0
40121,12.0,15.0
40123,16.0,15.0
40125,11.0,20.0
40127,,
40131,11.0,15.0
40133,,
40135,14.0,12.0
40137,13.0,18.0
40139,,
40141,,
40143,10.0,11.0
40145,10.0,20.0
40147,15.0,19.0
40149,,
40151,,
40153,,
41001,,
41003,25.0,24.0
41005,13.0,12.0
41007,17.0,15.0
41009,19.0,17.0
41011,15.0,13.0
41013,-1.0,-1.0
41015,,
41017,11.0,11.0
41019,9.0,9.0
41023,,
41025,,
41027,,
41029,9.0,10.0
41031,0.0,0.0
41033,9.0,9.0
41035,8.0,10.0
41037,,
41039,12.0,11.0
41041,17.0,16.0
41043,11.0,10.0
41045,7.0,7.0
41047,12.0,10.0
41049,,
41051,14.0,13.0
41053,13.0,13.0
41055,,
41057,-1.0,-1.0
41059,8.0,7.0
41061,0.0,0.0
41063,,
41065,7.0,7.0
41067,14.0,13.0
41071,12.0,11.0
42001,16.0,15.0
42003,11.0,12.0
42005,18.0,18.0
42007,10.0,10.0
42009,17.0,20.0
42011,13.0,12.0
42013,9.0,9.0
42015,17.0,20.0
42017,14.0,13.0
42019,11.0,11.0
42021,7.0,8.0
42025,19.0,22.0
42027,16.0,15.0
42029,14.0,13.0
42031,10.0,10.0
42033,13.0,10.0
42035,18.0,17.0
42037,20.0,23.0
42039,18.0,18.0
42041,13.0,12.0
42043,12.0,12.0
42045,14.0,14.0
42047,8.0,8.0
42049,9.0,10.0
42051,8.0,9.0
42055,10.0,10.0
42057,,
42059,3.0,3.0
42061,16.0,19.0
42063,19.0,20.0
42065,17.0,18.0
42067,,
42069,12.0,11.0
42071,14.0,13.0
42073,18.0,18.0
42075,12.0,11.0
42077,13.0,13.0
42079,12.0,11.0
42081,10.0,9.0
42083,17.0,19.0
42085,8.0,9.0
42087,18.0,19.0
42089,13.0,13.0
42091,15.0,14.0
42093,,
42095,14.0,13.0
42097,9.0,10.0
42099,21.0,25.0
42101,14.0,13.0
42103,22.0,26.0
42105,,
42107,10.0,10.0
42109,12.0,12.0
42111,19.0,20.0
42113,,
42115,15.0,15.0
42117,16.0,17.0
42119,14.0,14.0
42121,16.0,17.0
42123,17.0,18.0
42125,10.0,10.0
42127,17.0,16.0
42129,10.0,10.0
42131,-1.0,-1.0
42133,13.0,12.0
44001,22.0,22.0
44003,13.0,12.0
44005,21.0,26.0
44007,14.0,13.0
44009,13.0,15.0
45001,,
45003,8.0,10.0
45005,,
45007,8.0,9.0
45009,,
45011,,
45013,10.0,11.0
45015,9.0,10.0
45017,,
45019,11.0,12.0
45021,11.0,13.0
45023,14.0,14.0
45025,13.0,13.0
45027,,
45029,12.0,12.0
45031,13.0,13.0
45033,-2.0,-2.0
45035,9.0,10.0
45037,,
45039,,
45041,8.0,9.0
45043,11.0,12.0
45045,10.0,11.0
45047,11.0,11.0
45049,,
45051,8.0,10.0
45053,8.0,8.0
45055,14.0,14.0
45057,9.0,10.0
45059,6.0,9.0
45061,,
45063,10.0,10.0
45065,,
45067,2.0,2.0
45069,,
45071,10.0,14.0
45073,8.0,11.0
45075,8.0,9.0
45077,9.0,9.0
45079,11.0,12.0
45081,,
45083,9.0,9.0
45085,8.0,9.0
45087,4.0,4.0
45089,,
45091,10.0,11.0
46005,,
46009,,
46011,21.0,22.0
46013,17.0,21.0
46015,,
46019,,
46023,,
46027,,
46029,15.0,18.0
46033,,
46035,,
46041,,
46047,,
46051,,
46057,,
46065,,
46067,,
46077,,
46079,,
46081,0.0,0.0
46083,22.0,26.0
46087,,
46093,12.0,12.0
46099,8.0,10.0
46101,,
46103,8.0,8.0
46109,,
46113,,
46115,,
46121,,
46123,,
46125,,
46127,,
46129,,
46135,8.0,8.0
47001,8.0,10.0
47003,14.0,16.0
47005,,
47007,,
47009,9.0,10.0
47011,9.0,10.0
47013,10.0,11.0
47015,,
47017,4.0,4.0
47019,11.0,14.0
47021,16.0,20.0
47023,,
47025,-2.0,-2.0
47027,,
47029,11.0,13.0
47031,14.0,16.0
47033,,
47035,11.0,13.0
47037,11.0,12.0
47039,,
47041,,
47043,15.0,18.0
47045,11.0,13.0
47047,9.0,9.0
47049,,
47051,12.0,14.0
47053,12.0,15.0
47055,8.0,8.0
47057,,
47059,4.0,7.0
47061,,
47063,12.0,13.0
47065,10.0,12.0
47067,,
47069,,
47071,,
47073,12.0,13.0
47075,,
47077,-1.0,-1.0
47079,11.0,12.0
47081,-3.0,-3.0
47083,,
47085,,
47087,,
47089,13.0,14.0
47091,,
47093,10.0,11.0
47097,,
47099,12.0,15.0
47101,,
47103,7.0,7.0
47105,13.0,15.0
47107,12.0,16.0
47109,,
47111,,
47113,8.0,11.0
47115,0.0,0.0
47117,14.0,17.0
47119,9.0,10.0
47121,,
47123,14.0,17.0
47125,8.0,9.0
47127,,
47129,,
47131,6.0,6.0
47133,,
47135,,
47139,,
47141,6.0,10.0
47143,11.0,11.0
47145,13.0,15.0
47147,15.0,18.0
47149,10.0,11.0
47151,,
47153,,
47155,12.0,13.0
47157,10.0,10.0
47159,,
47161,,
47163,8.0,8.0
47165,10.0,10.0
47167,16.0,16.0
47169,,
47171,,
47173,,
47175,,
47177,13.0,15.0
47179,8.0,9.0
47181,,
47183,7.0,7.0
47185,-1.0,-1.0
47187,12.0,13.0
47189,10.0,10.0
48001,11.0,15.0
48003,,
48005,12.0,15.0
48007,10.0,10.0
48009,,
48013,17.0,20.0
48015,1.0,1.0
48017,,
48019,,
48021,12.0,18.0
48025,-1.0,-1.0
48027,10.0,11.0
48029,13.0,14.0
48031,,
48035,,
48037,10.0,11.0
48039,13.0,13.0
48041,14.0,16.0
48043,,
48047,,
48049,12.0,18.0
48051,,
48053,15.0,19.0
48055,17.0,23.0
48057,,
48059,,
48061,17.0,19.0
48063,,
48065,,
48067,6.0,6.0
48069,,
48071,20.0,20.0
48073,12.0,16.0
48075,,
48077,,
48081,,
48083,,
48085,14.0,15.0
48089,,
48091,12.0,14.0
48093,,
48097,16.0,20.0
48099,11.0,15.0
48103,,
48105,,
48107,,
48109,,
48111,,
48113,14.0,15.0
48115,,
48117,,
48119,,
48121,14.0,15.0
48123,,
48127,,
48129,,
48131,,
48133,,
48135,10.0,13.0
48139,13.0,14.0
48141,15.0,15.0
48143,10.0,10.0
48145,,
48147,11.0,13.0
48149,,
48153,,
48157,15.0,16.0
48159,,
48161,,
48163,,
48165,,
48167,12.0,13.0
48169,,
48171,,
48175,,
48177,,
48179,,
48181,9.0,11.0
48183,11.0,11.0
48185,0.0,0.0
48187,12.0,13.0
48189,11.0,11.0
48191,,
48193,,
48197,,
48199,16.0,20.0
48201,14.0,14.0
48203,15.0,18.0
48205,,
48207,,
48209,13.0,14.0
48213,9.0,13.0
48215,18.0,18.0
48217,13.0,18.0
48219,-3.0,-3.0
48221,16.0,19.0
48223,11.0,17.0
48225,,
48227,14.0,17.0
48231,10.0,11.0
48233,,
48237,,
48239,,
48241,6.0,6.0
48245,12.0,12.0
48247,,
48249,14.0,15.0
48251,11.0,13.0
48253,,
48255,,
48257,12.0,13.0
48259,14.0,14.0
48265,14.0,19.0
48267,,
48273,16.0,16.0
48277,12.0,17.0
48279,,
48281,,
48283,,
48285,,
48287,,
48289,,
48291,11.0,12.0
48293,,
48297,,
48299,,
48301,,
48303,10.0,12.0
48305,,
48307,,
48309,10.0,12.0
48311,,
48313,,
48315,,
48317,,
48321,13.0,15.0
48323,19.0,22.0
48325,19.0,22.0
48329,12.0,13.0
48331,,
48335,,
48337,,
48339,13.0,13.0
48341,-1.0,-1.0
48343,,
48347,15.0,21.0
48349,16.0,18.0
48351,,
48353,,
48355,13.0,13.0
48357,,
48359,,
48361,11.0,15.0
48363,8.0,8.0
48365,,
48367,10.0,12.0
48369,,
48371,,
48373,10.0,13.0
48375,9.0,10.0
48377,,
48379,,
48381,9.0,11.0
48383,,
48385,,
48387,,
48389,,
48391,,
48395,,
48397,25.0,27.0
48399,,
48401,13.0,16.0
48403,,
48405,,
48407,5.0,5.0
48409,12.0,17.0
48411,,
48415,,
48419,,
48421,,
48423,13.0,13.0
48425,,
48427,25.0,23.0
48429,,
48435,,
48437,,
48439,13.0,14.0
48441,9.0,11.0
48445,,
48449,11.0,14.0
48451,10.0,12.0
48453,15.0,16.0
48455,,
48457,,
48459,15.0,18.0
48461,,
48463,,
48465,21.0,23.0
48467,13.0,17.0
48469,10.0,13.0
48471,15.0,17.0
48473,20.0,23.0
48475,,
48477,-2.0,-2.0
48479,16.0,17.0
48481,15.0,16.0
48483,,
48485,11.0,11.0
48487,,
48489,,
48491,14.0,15.0
48493,19.0,23.0
48495,,
48497,15.0,19.0
48499,12.0,16.0
48501,,
48503,,
48505,,
48507,,
49001,,
49003,15.0,16.0
49005,10.0,10.0
49007,,
49011,10.0,11.0
49013,,
49015,,
49017,,
49019,,
49021,16.0,14.0
49023,,
49025,,
49027,,
49029,,
49035,11.0,11.0
49037,,
49039,,
49041,,
49043,6.0,6.0
49045,11.0,16.0
49047,5.0,5.0
49049,11.0,11.0
49051,4.0,4.0
49053,9.0,9.0
49057,8.0,9.0
50001,6.0,6.0
50003,8.0,8.0
50005,2.0,2.0
50007,14.0,13.0
50009,,
50011,22.0,21.0
50013,,
50015,,
50017,1.0,1.0
50019,0.0,0.0
50021,21.0,22.0
50023,23.0,23.0
50025,15.0,15.0
50027,22.0,24.0
51001,13.0,14.0
51003,23.0,24.0
51005,,
51007,,
51009,8.0,8.0
51011,,
51013,16.0,18.0
51015,8.0,16.0
51017,,
51019,14.0,17.0
51021,,
51023,14.0,14.0
51025,,
51027,,
51029,,
51031,13.0,15.0
51033,17.0,18.0
51035,4.0,4.0
51036,,
51037,,
51041,10.0,12.0
51043,,
51045,,
51047,16.0,18.0
51049,,
51051,,
51053,14.0,14.0
51057,,
51059,15.0,17.0
51061,20.0,23.0
51063,,
51065,-1.0,-1.0
51067,13.0,16.0
51069,13.0,12.0
51071,,
51073,15.0,16.0
51075,,
51077,,
51079,,
51081,,
51083,12.0,12.0
51085,20.0,13.0
51087,11.0,12.0
51089,11.0,13.0
51093,18.0,19.0
51095,19.0,21.0
51097,,
51099,0.0,0.0
51101,,
51103,,
51105,,
51107,15.0,15.0
51109,17.0,18.0
51111,,
51113,,
51115,,
51117,5.0,5.0
51119,,
51121,9.0,23.0
51125,,
51127,,
51131,,
51133,,
51135,,
51137,11.0,11.0
51139,,
51141,,
51143,12.0,13.0
51145,8.0,8.0
51147,,
51149,17.0,18.0
51153,13.0,15.0
51155,13.0,15.0
51157,,
51159,,
51161,10.0,11.0
51163,,
51165,9.0,10.0
51167,,
51169,,
51171,16.0,17.0
51173,4.0,4.0
51175,,
51177,10.0,12.0
51179,12.0,13.0
51181,,
51183,,
51185,10.0,11.0
51187,18.0,19.0
51191,11.0,13.0
51193,,
51195,6.0,6.0
51197,-2.0,-2.0
51199,23.0,24.0
53001,,
53003,7.0,7.0
53005,10.0,10.0
53007,18.0,19.0
53009,18.0,17.0
53011,13.0,12.0
53015,11.0,10.0
53017,17.0,18.0
53019,,
53021,12.0,12.0
53025,8.0,9.0
53027,14.0,12.0
53029,21.0,20.0
53031,2.0,2.0
53033,15.0,15.0
53035,12.0,11.0
53037,19.0,19.0
53039,,
53041,11.0,9.0
53043,,
53045,20.0,18.0
53047,9.0,9.0
53049,,
53051,,
53053,12.0,12.0
53055,,
53057,12.0,11.0
53059,,
53061,14.0,13.0
53063,11.0,10.0
53065,16.0,15.0
53067,12.0,11.0
53071,18.0,17.0
53073,13.0,12.0
53075,23.0,24.0
53077,9.0,9.0
54001,,
54003,9.0,10.0
54005,,
54007,,
54009,,
54011,9.0,10.0
54019,7.0,7.0
54023,,
54025,0.0,0.0
54027,,
54029,10.0,10.0
54031,,
54033,19.0,16.0
54035,,
54037,20.0,22.0
54039,8.0,9.0
54041,,
54043,,
54045,,
54047,,
54049,20.0,17.0
54051,1.0,1.0
54053,,
54055,15.0,14.0
54057,-2.0,-2.0
54059,,
54061,25.0,23.0
54063,,
54065,,
54067,,
54069,16.0,16.0
54073,,
54075,,
54077,,
54079,21.0,19.0
54081,15.0,15.0
54083,,
54085,,
54087,,
54089,,
54091,,
54093,,
54095,,
54097,,
54099,0.0,0.0
54101,,
54103,,
54107,9.0,9.0
54109,,
55001,,
55003,,
55005,17.0,21.0
55007,,
55009,13.0,10.0
55011,,
55013,,
55015,25.0,25.0
55017,19.0,22.0
55019,16.0,15.0
55021,21.0,22.0
55023,,
55025,15.0,12.0
55027,13.0,11.0
55029,-2.0,-2.0
55031,20.0,22.0
55033,19.0,21.0
55035,14.0,11.0
55037,,
55039,12.0,9.0
55041,,
55043,19.0,21.0
55045,22.0,21.0
55047,,
55049,2.0,2.0
55051,,
55053,,
55055,14.0,12.0
55057,13.0,13.0
55059,12.0,10.0
55061,,
55063,13.0,11.0
55065,,
55067,,
55069,13.0,13.0
55071,15.0,13.0
55073,13.0,10.0
55075,15.0,14.0
55077,,
55079,13.0,11.0
55081,19.0,19.0
55083,16.0,16.0
55085,17.0,16.0
55087,13.0,11.0
55089,27.0,26.0
55091,,
55093,23.0,28.0
55095,21.0,24.0
55097,22.0,23.0
55099,,
55101,12.0,10.0
55103,,
55105,11.0,8.0
55107,,
55109,24.0,29.0
55111,22.0,23.0
55113,,
55115,19.0,17.0
55117,11.0,10.0
55119,,
55121,15.0,16.0
55123,4.0,4.0
55125,,
55127,12.0,9.0
55129,,
55131,13.0,10.0
55133,14.0,11.0
55135,19.0,17.0
55137,4.0,4.0
55139,13.0,10.0
55141,15.0,13.0
56001,16.0,21.0
56003,,
56005,17.0,18.0
56007,,
56009,,
56011,,
56013,15.0,19.0
56015,,
56017,,
56019,,
56021,10.0,8.0
56023,,
56025,9.0,11.0
56029,5.0,5.0
56031,,
56033,13.0,15.0
56035,,
56037,15.0,15.0
56039,,
56041,,
56043,,
56045,,
