,Transit stations,Transit stations
29201,-19.0,-12.0
29203,,
29205,,
29207,,
29209,,
29211,,
29213,,
29215,,
29217,-24.0,-29.0
29219,-4.0,-20.0
29221,,
29223,,
29225,-38.0,-38.0
29229,,
30001,,
30003,-13.0,-19.0
30005,,
30007,,
30009,,
30013,-70.0,-60.0
30017,,
30021,,
30023,,
30027,,
30029,-50.0,-46.0
30031,-66.0,-67.0
30035,,
30041,,
30043,,
30047,,
30049,,
30053,,
30057,,
30061,,
30063,-28.0,-30.0
30067,,
30073,,
30077,,
30081,,
30083,,
30085,,
30087,,
30089,,
30093,-20.0,-25.0
30095,-4.0,-9.0
30099,,
30105,,
30111,-45.0,-58.0
31001,,
31003,,
31013,,
31019,-3.0,-17.0
31021,,
31023,,
31025,,
31027,,
31031,,
31033,-1.0,-2.0
31035,,
31037,,
31039,,
31041,,
31043,,
31045,,
31047,,
31049,-5.0,-19.0
31051,,
31053,-2.0,-32.0
31055,-38.0,-43.0
31059,,
31067,,
31079,-15.0,-29.0
31081,-6.0,-13.0
31089,,
31093,,
31095,,
31099,,
31101,14.0,7.0
31105,,
31107,,
31109,-18.0,-26.0
31111,-8.0,-17.0
31119,,
31121,,
31123,,
31127,,
31131,,
31137,,
31139,,
31141,-16.0,-27.0
31143,,
31145,,
31147,,
31151,,
31153,23.0,-1.0
31155,,
31157,,
31159,,
31167,,
31169,,
31173,,
31177,,
31179,,
31185,-12.0,-22.0
32001,,
32003,-66.0,-67.0
32005,,
32007,-11.0,-14.0
32013,-40.0,-55.0
32015,,
32019,-10.0,-22.0
32021,-29.0,-20.0
32023,-20.0,-22.0
32027,6.0,-13.0
32029,,
32031,-64.0,-71.0
32033,-4.0,-11.0
32510,,
33001,,
33003,,
33005,,
33007,,
33009,-45.0,-27.0
33011,-57.0,-39.0
33013,-76.0,-73.0
33015,-60.0,-59.0
33017,-39.0,-52.0
33019,,
34001,-72.0,-66.0
34003,-64.0,-56.0
34005,-53.0,-50.0
34007,-59.0,-58.0
34009,-59.0,-54.0
34011,-28.0,-30.0
34013,-78.0,-79.0
34015,-15.0,-16.0
34017,-72.0,-67.0
34019,-31.0,-39.0
34021,-74.0,-73.0
34023,-77.0,-66.0
34025,-67.0,-51.0
34027,-64.0,-47.0
34029,-58.0,-52.0
34031,-55.0,-47.0
34033,-61.0,-68.0
34035,-60.0,66.0
34037,-53.0,-43.0
34039,-61.0,-58.0
34041,-40.0,-46.0
35001,-43.0,-41.0
35005,-49.0,-51.0
35006,-16.0,-25.0
35007,-26.0,-43.0
35009,-38.0,-28.0
35015,-35.0,-19.0
35017,,
35019,-9.0,-10.0
35023,-31.0,-40.0
35025,-34.0,-40.0
35027,,
35028,,
35029,-22.0,-26.0
35031,-13.0,-18.0
35035,,
35037,-7.0,-17.0
35039,,
35041,,
35043,-28.0,-45.0
35045,-38.0,-31.0
35047,-41.0,-48.0
35049,-51.0,-39.0
35051,,
35053,,
35055,,
35057,-8.0,-19.0
35059,-34.0,-43.0
35061,-21.0,-26.0
36001,-64.0,-62.0
36003,,
36005,-55.0,-51.0
36007,-43.0,-46.0
36009,,
36011,-49.0,-42.0
36013,,
36015,-58.0,-65.0
36017,,
36019,-67.0,-60.0
36021,-36.0,-39.0
36023,,-39.0
36025,,
36027,-72.0,-61.0
36029,-49.0,-52.0
36031,,
36033,,
36035,,
36037,-56.0,-58.0
36039,,
36043,-70.0,-71.0
36045,,
36047,-63.0,-62.0
36049,,
36051,-37.0,-37.0
36053,-62.0,-60.0
36055,-41.0,-45.0
36057,2.0,9.0
36059,-69.0,-66.0
36061,-78.0,-78.0
36063,-59.0,-60.0
36065,-50.0,-48.0
36067,-55.0,-58.0
36069,-62.0,-60.0
36071,-61.0,-59.0
36073,,
36075,,
36077,,
36079,-69.0,-63.0
36081,-75.0,-77.0
36083,-54.0,-51.0
36085,-60.0,-58.0
36087,-68.0,-60.0
36089,,
36091,-52.0,-39.0
36093,-48.0,-44.0
36095,,
36097,,
36099,-67.0,-73.0
36101,-22.0,-22.0
36103,-70.0,-66.0
36105,,
36107,,
36109,-50.0,-44.0
36111,-69.0,-74.0
36113,-43.0,-41.0
36115,,
36117,,
36119,-66.0,-59.0
36121,,
36123,,
37001,-18.0,-29.0
37003,,
37005,,
37007,,
37009,,
37011,,
37013,,
37015,,
37017,,
37019,-33.0,-51.0
37021,-70.0,-77.0
37023,,
37025,-33.0,-46.0
37027,,
37029,,
37031,,
37033,,
37035,-11.0,-18.0
37037,,
37039,,
37041,,
37043,,
37045,,
37047,,
37049,-25.0,-43.0
37051,-32.0,-41.0
37053,,
37055,,
37057,-18.0,-27.0
37059,-27.0,-29.0
37061,-20.0,-44.0
37063,-36.0,-31.0
37065,,
37067,-17.0,-13.0
37069,,
37071,,
37073,,
37075,,
37077,,
37079,,
37081,-42.0,-41.0
37083,,
37085,-9.0,-16.0
37087,-19.0,-36.0
37089,-46.0,-48.0
37091,,
37093,,
37097,-15.0,-22.0
37099,,
37101,-14.0,-32.0
37103,,
37105,,
37107,,
37109,,
37111,-23.0,-27.0
37113,,
37115,,
37117,,
37119,-70.0,-71.0
37121,,
37123,-19.0,-35.0
37125,,
37127,-16.0,-41.0
37129,-63.0,-70.0
37131,,
37133,-61.0,-66.0
37135,-50.0,-50.0
37137,,
37139,-49.0,
37141,,
37143,,
37145,,
37147,-38.0,-26.0
37149,,
37151,,
37153,,
37155,-21.0,-44.0
37157,-8.0,-29.0
37159,-28.0,-39.0
37161,,
37163,,
37165,,
37167,,
37169,,
37171,-9.0,-23.0
37173,,
37175,,
37179,-17.0,-40.0
37181,,
37183,-74.0,-77.0
37185,,
37187,,
37189,,
37191,-30.0,-22.0
37193,,
37195,,
37197,,
37199,,
38003,,
38009,,
38015,-56.0,-61.0
38017,-34.0,-39.0
38025,,
38035,-38.0,-50.0
38053,-25.0,-38.0
38055,,
38057,,
38059,-12.0,-23.0
38061,,
38067,,
38071,,
38073,,
38077,,
38079,,
38089,,
38093,,
38097,,
38099,,
38101,-35.0,-52.0
38105,-25.0,-37.0
39001,,
39003,-31.0,-28.0
39005,,
39007,-23.0,-27.0
39009,,
39011,,
39013,-28.0,-35.0
39015,,
39017,-6.0,-19.0
39019,,
39021,,
39023,-19.0,-29.0
39025,,
39027,30.0,17.0
39029,,
39031,,
39033,,
39035,-47.0,-53.0
39037,,
39039,,
39041,-32.0,-37.0
39043,,
39045,,
39047,-20.0,-31.0
39049,-47.0,-54.0
39051,-38.0,-33.0
39053,2.0,-21.0
39055,,
39057,,
39059,-20.0,-28.0
39061,-16.0,-27.0
39063,-28.0,-32.0
39065,,
39067,,
39069,-26.0,-21.0
39071,,
39073,,
39075,,
39077,,
39079,-22.0,-38.0
39081,-15.0,-35.0
39083,,
39085,-43.0,-45.0
39087,,
39089,-24.0,-33.0
39091,,
39093,-60.0,-66.0
39095,-21.0,-19.0
39097,-16.0,-26.0
39099,-24.0,-32.0
39101,,
39103,-26.0,-27.0
39105,,
39107,,
39109,,
39111,,
39113,-32.0,-30.0
39115,,
39117,-35.0,-20.0
39119,-22.0,-24.0
39121,-24.0,-9.0
39123,,
39125,,
39127,,
39129,-8.0,-4.0
39131,,
39133,-43.0,-44.0
39135,-18.0,-13.0
39137,,
39139,-25.0,-33.0
39141,-7.0,-13.0
39143,-47.0,-55.0
39145,,
39147,,
39149,-22.0,-25.0
39151,10.0,-12.0
39153,-24.0,-32.0
39155,-12.0,-22.0
39157,,
39159,,
39161,,
39163,,
39165,-21.0,-21.0
39167,,
39169,-33.0,-38.0
39171,-42.0,-50.0
39173,-23.0,-26.0
39175,-21.0,-26.0
40001,,
40005,-26.0,-38.0
40009,-10.0,-10.0
40011,,
40013,-21.0,-30.0
40015,-10.0,-18.0
40017,-9.0,-19.0
40019,-16.0,-18.0
40021,,
40023,,
40027,,
40029,,
40031,5.0,-41.0
40033,-43.0,-49.0
40035,8.0,10.0
40037,,
40039,-6.0,-6.0
40041,-13.0,-30.0
40047,-20.0,-37.0
40049,-16.0,-20.0
40051,,
40055,,
40061,,
40063,,
40065,,
40067,,
40069,,
40071,-25.0,-25.0
40073,,
40075,,
40077,,
40079,,
40081,,
40083,-16.0,-22.0
40085,,
40087,-42.0,-50.0
40089,-18.0,-7.0
40091,8.0,-14.0
40093,,
40095,,
40097,-17.0,-28.0
40099,,
40101,-8.0,-29.0
40103,-50.0,-62.0
40105,-62.0,-51.0
40107,-20.0,-27.0
40109,-37.0,-43.0
40111,-17.0,-32.0
40113,,
40115,,
40117,,
40119,,
40121,-42.0,-44.0
40123,,
40125,,
40127,,
40131,,
40133,-30.0,-35.0
40135,-11.0,-16.0
40137,,
40139,-13.0,-30.0
40141,,
40143,-22.0,-21.0
40145,,
40147,,
40149,,
40151,,
40153,,
41001,-12.0,-14.0
41003,-51.0,-51.0
41005,-44.0,-22.0
41007,-61.0,-61.0
41009,,
41011,,
41013,,
41015,,
41017,-66.0,-70.0
41019,-13.0,-21.0
41023,,
41025,,
41027,,
41029,-49.0,-48.0
41031,-32.0,-20.0
41033,-33.0,-30.0
41035,-14.0,-28.0
41037,,
41039,-65.0,-62.0
41041,,
41043,-29.0,-20.0
41045,2.0,0.0
41047,-33.0,-24.0
41049,-7.0,-5.0
41051,-58.0,-56.0
41053,,
41055,-37.0,-24.0
41057,,
41059,-23.0,-23.0
41061,-17.0,-9.0
41063,,
41065,,
41067,-47.0,-41.0
41071,-63.0,-63.0
42001,,
42003,-56.0,-61.0
42005,,
42007,-44.0,-44.0
42009,-77.0,-77.0
42011,-24.0,-15.0
42013,-25.0,-20.0
42015,,
42017,-51.0,-46.0
42019,-14.0,-11.0
42021,,
42025,,
42027,-44.0,-49.0
42029,-72.0,-69.0
42031,,
42033,-21.0,-24.0
42035,-29.0,-41.0
42037,-26.0,-32.0
42039,,
42041,-25.0,-33.0
42043,-57.0,-56.0
42045,-43.0,-37.0
42047,,
42049,-30.0,-35.0
42051,,
42055,-21.0,-17.0
42057,-70.0,-71.0
42059,,
42061,,
42063,,
42065,-14.0,-23.0
42067,,
42069,-45.0,-42.0
42071,-67.0,-54.0
42073,,
42075,-28.0,-18.0
42077,-49.0,-54.0
42079,-30.0,-35.0
42081,-44.0,-23.0
42083,,
42085,,
42087,,
42089,-74.0,-76.0
42091,-54.0,-47.0
42093,,
42095,-61.0,-48.0
42097,-25.0,-20.0
42099,,
42101,-57.0,-55.0
42103,,
42105,,
42107,-6.0,-20.0
42109,,
42111,-55.0,-61.0
42113,,
42115,-25.0,-35.0
42117,,
42119,,
42121,-70.0,-63.0
42123,,
42125,-16.0,-21.0
42127,,
42129,-36.0,-40.0
42131,,
42133,-46.0,-37.0
44001,,
44003,-72.0,-70.0
44005,-24.0,-51.0
44007,-65.0,-53.0
44009,-8.0,-48.0
45001,,
45003,0.0,-20.0
45005,,
45007,-20.0,-25.0
45009,,
45011,,
45013,-32.0,-48.0
45015,-53.0,-31.0
45017,-47.0,-51.0
45019,-62.0,-64.0
45021,-20.0,-27.0
45023,-25.0,-45.0
45025,,
45027,-12.0,-33.0
45029,-27.0,-43.0
45031,,
45033,-21.0,-32.0
45035,-38.0,-45.0
45037,,
45039,-27.0,-35.0
45041,-24.0,-36.0
45043,,
45045,-38.0,-42.0
45047,,
45049,-26.0,-30.0
45051,-58.0,-66.0
45053,-8.0,-26.0
45055,-36.0,-47.0
45057,,
45059,-27.0,-35.0
45061,-28.0,-41.0
45063,-33.0,-35.0
45065,,
45067,,
45069,,
45071,-31.0,-48.0
45073,,
45075,-31.0,-44.0
45077,,
45079,-21.0,-29.0
45081,,
45083,-57.0,-64.0
45085,-32.0,-53.0
45087,,
45089,,
45091,-34.0,-37.0
46005,,
46009,,
46011,,
46013,,
46015,,
46019,,
46023,,
46027,,
46029,-29.0,-40.0
46033,,
46035,,
46041,,
46047,,
46051,,
46057,,
46065,,
46067,,
46077,,
46079,,
46081,,
46083,,
46087,,
46093,,
46099,-41.0,-46.0
46101,,
46103,-24.0,-18.0
46109,-33.0,-46.0
46113,,
46115,,
46121,,
46123,,
46125,,
46127,-18.0,-13.0
46129,,
46135,,
47001,,
47003,,
47005,-25.0,-33.0
47007,,
47009,-79.0,-82.0
47011,-18.0,-27.0
47013,-12.0,-24.0
47015,,
47017,,
47019,,
47021,-36.0,-44.0
47023,,
47025,,
47027,,
47029,-20.0,0.0
47031,-35.0,-52.0
47033,,
47035,-25.0,-37.0
47037,-64.0,-69.0
47039,,
47041,,
47043,-19.0,-25.0
47045,-9.0,-15.0
47047,-30.0,-29.0
47049,,
47051,,
47053,,
47055,-25.0,-44.0
47057,,
47059,-8.0,-17.0
47061,,
47063,,
47065,-39.0,-51.0
47067,,
47069,,
47071,,
47073,,
47075,,
47077,,
47079,,
47081,,
47083,,
47085,,
47087,,
47089,-17.0,-28.0
47091,,
47093,-28.0,-35.0
47097,,
47099,,
47101,,
47103,,
47105,-22.0,-31.0
47107,-23.0,-42.0
47109,-20.0,-49.0
47111,,
47113,-32.0,-38.0
47115,-16.0,-26.0
47117,-34.0,-50.0
47119,-15.0,-30.0
47121,,
47123,,
47125,-13.0,-23.0
47127,,
47129,,
47131,,
47133,,
47135,,
47139,,
47141,-11.0,-27.0
47143,,
47145,,
47147,-25.0,-26.0
47149,-16.0,-27.0
47151,,
47153,,
47155,,
47157,-25.0,-26.0
47159,-10.0,-32.0
47161,,
47163,-44.0,-56.0
47165,,
47167,,
47169,,
47171,,
47173,,
47175,,
47177,,
47179,-8.0,-6.0
47181,,
47183,,
47185,,
47187,-19.0,-33.0
47189,-6.0,-27.0
48001,-17.0,-17.0
48003,32.0,11.0
48005,-25.0,-40.0
48007,,
48009,,
48013,-65.0,-70.0
48015,,
48017,,
48019,,
48021,,
48025,,
48027,-34.0,-38.0
48029,-46.0,-50.0
48031,,
48035,,
48037,-18.0,-24.0
48039,-24.0,-26.0
48041,-60.0,-67.0
48043,,
48047,-43.0,-42.0
48049,,
48051,,
48053,,
48055,-35.0,-43.0
48057,,
48059,-18.0,-28.0
48061,-62.0,-71.0
48063,,
48065,-20.0,-26.0
48067,-20.0,-25.0
48069,,
48071,-39.0,-54.0
48073,,
48075,-11.0,-15.0
48077,-10.0,-29.0
48081,,
48083,,
48085,-37.0,-41.0
48089,-31.0,-45.0
48091,-10.0,-24.0
48093,,
48097,-33.0,-47.0
48099,,
48103,,
48105,,
48107,,
48109,-30.0,-40.0
48111,,
48113,-45.0,-51.0
48115,,
48117,-13.0,-29.0
48119,,
48121,-30.0,-38.0
48123,,
48127,-34.0,-37.0
48129,9.0,9.0
48131,,
48133,-27.0,-36.0
48135,-8.0,-17.0
48139,-33.0,-38.0
48141,-40.0,-44.0
48143,,
48145,,
48147,,
48149,-33.0,-41.0
48153,,
48157,-26.0,-37.0
48159,-23.0,-27.0
48161,-41.0,-48.0
48163,-27.0,-45.0
48165,,
48167,-57.0,-59.0
48169,,
48171,,
48175,,
48177,,
48179,,
48181,,
48183,,
48185,,
48187,-23.0,-32.0
48189,,
48191,-13.0,-23.0
48193,,
48197,-16.0,-25.0
48199,,
48201,-58.0,-62.0
48203,,
48205,,
48207,,
48209,-19.0,-28.0
48213,,
48215,-64.0,-68.0
48217,-41.0,-47.0
48219,,
48221,,
48223,-22.0,-33.0
48225,,
48227,-32.0,-38.0
48231,-23.0,-31.0
48233,,
48237,,
48239,-44.0,-52.0
48241,,
48245,-35.0,-39.0
48247,,
48249,,
48251,,
48253,,
48255,-46.0,-31.0
48257,-18.0,-29.0
48259,-31.0,-46.0
48265,,
48267,-24.0,-32.0
48273,-56.0,-53.0
48277,-20.0,-40.0
48279,,
48281,,
48283,-40.0,-45.0
48285,,
48287,,
48289,-26.0,-36.0
48291,-14.0,-30.0
48293,,
48297,-52.0,-56.0
48299,,
48301,,
48303,-36.0,-46.0
48305,,
48307,,
48309,-34.0,-36.0
48311,-50.0,-58.0
48313,,
48315,,
48317,,
48321,,
48323,-62.0,-68.0
48325,-30.0,-38.0
48329,-24.0,-31.0
48331,,
48335,,
48337,,
48339,-26.0,-35.0
48341,-7.0,-22.0
48343,,
48347,-43.0,-52.0
48349,-40.0,-56.0
48351,,
48353,-31.0,-36.0
48355,-45.0,-43.0
48357,,
48359,-5.0,-16.0
48361,-37.0,-44.0
48363,-34.0,-58.0
48365,-22.0,-34.0
48367,-32.0,-34.0
48369,,
48371,-22.0,-29.0
48373,-41.0,-50.0
48375,-17.0,-30.0
48377,,
48379,,
48381,,-25.0
48383,-15.0,-38.0
48385,,
48387,,
48389,-8.0,-20.0
48391,-43.0,-52.0
48395,-32.0,-37.0
48397,-21.0,-26.0
48399,,
48401,,
48403,,
48405,,
48407,,
48409,-33.0,-51.0
48411,,
48415,,
48419,,
48421,0.0,-16.0
48423,-36.0,-40.0
48425,,
48427,,
48429,,
48435,,
48437,,
48439,-71.0,-74.0
48441,-7.0,-21.0
48445,,
48449,,
48451,,
48453,-72.0,-74.0
48455,,
48457,,
48459,,
48461,,
48463,,
48465,,
48467,-18.0,-33.0
48469,-49.0,-59.0
48471,-42.0,-47.0
48473,-22.0,-28.0
48475,35.0,71.0
48477,,
48479,-43.0,-48.0
48481,-36.0,-47.0
48483,,
48485,-24.0,-20.0
48487,-17.0,-32.0
48489,,
48491,-41.0,-53.0
48493,,
48495,75.0,51.0
48497,-16.0,-24.0
48499,,
48501,,
48503,,
48505,,
48507,,
49001,-26.0,-15.0
49003,-5.0,-13.0
49005,-7.0,-10.0
49007,,
49011,-15.0,-24.0
49013,,
49015,,
49017,,
49019,,
49021,-16.0,-23.0
49023,-13.0,-32.0
49025,,
49027,,
49029,,
49035,-62.0,-67.0
49037,,
49039,,
49041,-9.0,-4.0
49043,-59.0,-58.0
49045,-18.0,-26.0
49047,,
49049,13.0,1.0
49051,,
49053,-22.0,-34.0
49057,-8.0,-6.0
50001,,
50003,,
50005,,
50007,-57.0,-66.0
50009,,
50011,,
50013,-60.0,-63.0
50015,-40.0,-40.0
50017,-66.0,-66.0
50019,,
50021,-77.0,-84.0
50023,,-45.0
50025,,
50027,-60.0,-63.0
51001,,
51003,-55.0,-67.0
51005,-12.0,-20.0
51007,,
51009,,
51011,,
51013,-82.0,-84.0
51015,52.0,29.0
51017,,
51019,,
51021,-19.0,-30.0
51023,-20.0,-43.0
51025,-50.0,-63.0
51027,,
51029,,
51031,,
51033,-37.0,-45.0
51035,-16.0,-30.0
51036,,
51037,,
51041,-19.0,-28.0
51043,,
51045,,
51047,,
51049,,
51051,,
51053,,-46.0
51057,,
51059,-46.0,-48.0
51061,,
51063,,
51065,,
51067,,
51069,-33.0,-41.0
51071,,
51073,,
51075,,
51077,,
51079,,
51081,-24.0,-44.0
51083,,
51085,-25.0,-29.0
51087,-71.0,-76.0
51089,,
51093,,
51095,,
51097,,
51099,-28.0,-63.0
51101,,
51103,,
51105,,
51107,-80.0,-84.0
51109,,
51111,,
51113,,
51115,,
51117,-26.0,-40.0
51119,,
51121,-26.0,-34.0
51125,,
51127,-40.0,-50.0
51131,,
51133,,
51135,,
51137,,
51139,,
51141,,
51143,,
51145,,
51147,,
51149,-32.0,-35.0
51153,-27.0,-42.0
51155,,
51157,,
51159,,
51161,,
51163,-20.0,-30.0
51165,-22.0,-22.0
51167,,
51169,,
51171,-22.0,-30.0
51173,,-9.0
51175,,
51177,,
51179,,
51181,,
51183,-48.0,-59.0
51185,,
51187,,
51191,-26.0,-28.0
51193,,
51195,,
51197,-4.0,-15.0
51199,,
53001,-31.0,-15.0
53003,,
53005,-12.0,-8.0
53007,-27.0,-33.0
53009,-29.0,-23.0
53011,-38.0,-34.0
53015,-34.0,-22.0
53017,-39.0,-44.0
53019,,
53021,-59.0,-59.0
53025,-46.0,-40.0
53027,-26.0,-16.0
53029,-53.0,-52.0
53031,-58.0,-58.0
53033,-66.0,-68.0
53035,-62.0,-60.0
53037,-22.0,-23.0
53039,,
53041,-32.0,-29.0
53043,,
53045,,
53047,,
53049,,
53051,,
53053,-31.0,-25.0
53055,-43.0,-45.0
53057,-51.0,-47.0
53059,,
53061,-48.0,-45.0
53063,-45.0,-49.0
53065,,
53067,-36.0,-32.0
53071,-47.0,-42.0
53073,-69.0,-66.0
53075,,
53077,-21.0,-26.0
54001,,
54003,-55.0,-55.0
54005,,
54007,-30.0,-36.0
54009,,
54011,-37.0,-37.0
54019,,
54023,,
54025,,
54027,,
54029,,
54031,,
54033,-47.0,-51.0
54035,-11.0,-20.0
54037,,
54039,-43.0,-45.0
54041,,
54043,,
54045,,
54047,,
54049,,
54051,,
54053,,
54055,-30.0,-43.0
54057,,
54059,,
54061,-35.0,-34.0
54063,,
54065,,
54067,,
54069,-19.0,-13.0
54073,,
54075,,
54077,,
54079,-9.0,-28.0
54081,-35.0,-46.0
54083,,
54085,,
54087,,
54089,,
54091,,
54093,,
54095,,
54097,,
54099,,
54101,,
54103,,
54107,,
54109,,
55001,,
55003,,
55005,,
55007,,
55009,-77.0,-74.0
55011,,
55013,,
55015,,
55017,,
55019,,
55021,-37.0,-40.0
55023,,
55025,-67.0,-55.0
55027,,
55029,,
55031,,
55033,-14.0,-19.0
55035,-36.0,-34.0
55037,,
55039,-21.0,-16.0
55041,,
55043,,
55045,,
55047,,
55049,,
55051,,
55053,-12.0,-25.0
55055,-62.0,-57.0
55057,-29.0,-29.0
55059,-56.0,-19.0
55061,,
55063,-38.0,-29.0
55065,,
55067,,
55069,,
55071,,
55073,,
55075,,
55077,,
55079,-57.0,-48.0
55081,-17.0,-22.0
55083,,
55085,,
55087,-62.0,-59.0
55089,,
55091,,
55093,,
55095,,
55097,,
55099,,
55101,-37.0,-30.0
55103,,
55105,-36.0,-27.0
55107,,
55109,-39.0,-25.0
55111,-50.0,-36.0
55113,,
55115,,
55117,-23.0,-3.0
55119,,
55121,,
55123,,
55125,,
55127,,
55129,,
55131,-31.0,-31.0
55133,-44.0,-20.0
55135,,
55137,,
55139,-41.0,-11.0
55141,,
56001,1.0,-10.0
56003,,
56005,-7.0,-16.0
56007,-15.0,-12.0
56009,-35.0,-35.0
56011,,
56013,,
56015,,
56017,,
56019,,
56021,-16.0,-21.0
56023,,
56025,-29.0,-37.0
56029,,
56031,-43.0,-35.0
56033,,
56035,,
56037,6.0,-5.0
56039,-80.0,-80.0
56041,1.0,-8.0
56043,,
56045,,
