,Parks,Parks,Parks
39115,,,
39117,,,
39119,,,
39121,,,
39123,,,
39125,,,
39127,,,
39129,,,
39131,,,
39133,26.0,13.0,22.0
39135,,,
39137,,,
39139,,,
39141,-28.0,-28.0,
39143,,,
39145,,,
39147,,,
39149,,,
39151,167.0,65.0,89.0
39153,139.0,40.0,59.0
39155,80.0,51.0,87.0
39157,,,
39159,,,
39161,,,
39163,,,
39165,23.0,83.0,75.0
39167,,,
39169,,,
39171,,,
39173,-7.0,-7.0,-7.0
39175,,,
40001,,,
40005,,,
40009,,,
40011,,,
40013,,,
40015,,,
40017,85.0,49.0,26.0
40019,,,
40021,-38.0,-38.0,
40023,,,
40027,26.0,-4.0,-28.0
40029,,,
40031,66.0,13.0,-18.0
40033,,,
40035,,,
40037,-18.0,-37.0,-37.0
40039,,,
40041,,,
40047,-36.0,-21.0,-54.0
40049,-27.0,-60.0,-56.0
40051,,,
40055,,,
40061,,,
40063,,,
40065,,,
40067,,,
40069,,,
40071,,,
40073,,,
40075,,,
40077,,,
40079,,,
40081,,,
40083,,,
40085,,,
40087,,,
40089,-11.0,-42.0,2.0
40091,,,
40093,,,
40095,,,
40097,,,
40099,-22.0,-27.0,-19.0
40101,1.0,10.0,19.0
40103,,,
40105,,,
40107,,,
40109,24.0,0.0,-17.0
40111,,,
40113,-38.0,-38.0,
40115,,,
40117,,,
40119,22.0,-33.0,10.0
40121,,-38.0,-38.0
40123,,,
40125,-35.0,-52.0,-56.0
40127,,,
40131,-10.0,16.0,16.0
40133,,,
40135,,,
40137,,,
40139,,,
40141,,,
40143,-22.0,-35.0,-31.0
40145,,,
40147,,,
40149,,,
40151,24.0,4.0,4.0
40153,,,
41001,,,
41003,-5.0,18.0,44.0
41005,-15.0,12.0,6.0
41007,-58.0,-24.0,-25.0
41009,2.0,58.0,58.0
41011,-48.0,-24.0,-11.0
41013,,,
41015,-24.0,-29.0,16.0
41017,-10.0,-26.0,-14.0
41019,-10.0,-9.0,17.0
41023,,,
41025,,,
41027,-12.0,4.0,-3.0
41029,12.0,4.0,44.0
41031,,,
41033,27.0,9.0,64.0
41035,21.0,-4.0,18.0
41037,,,
41039,-29.0,-11.0,29.0
41041,-53.0,-34.0,-43.0
41043,-9.0,23.0,38.0
41045,,,
41047,-26.0,0.0,37.0
41049,,,
41051,-23.0,9.0,5.0
41053,-5.0,41.0,41.0
41055,,,
41057,-50.0,-13.0,-10.0
41059,-13.0,4.0,13.0
41061,,,
41063,,,
41065,-9.0,-9.0,12.0
41067,-6.0,34.0,47.0
41071,11.0,39.0,66.0
42001,0.0,35.0,16.0
42003,83.0,36.0,8.0
42005,,,
42007,-59.0,53.0,14.0
42009,,,
42011,-21.0,99.0,53.0
42013,-36.0,-36.0,-36.0
42015,,,
42017,-8.0,102.0,54.0
42019,-4.0,36.0,0.0
42021,,,
42025,-31.0,-18.0,-13.0
42027,-24.0,-24.0,-5.0
42029,-44.0,25.0,12.0
42031,,,
42033,-34.0,-34.0,-34.0
42035,,,
42037,,,
42039,,,
42041,-15.0,66.0,83.0
42043,-18.0,60.0,28.0
42045,13.0,99.0,57.0
42047,,,
42049,127.0,55.0,80.0
42051,-34.0,-34.0,-34.0
42055,-40.0,25.0,-15.0
42057,,,
42059,,,
42061,,,
42063,,,
42065,,,
42067,,,
42069,-9.0,94.0,64.0
42071,-11.0,103.0,36.0
42073,-50.0,-50.0,-50.0
42075,-42.0,-42.0,-42.0
42077,-28.0,70.0,46.0
42079,-5.0,80.0,51.0
42081,-44.0,-10.0,-28.0
42083,,,
42085,,,
42087,,,
42089,-49.0,-13.0,-6.0
42091,-4.0,85.0,62.0
42093,,,
42095,-6.0,123.0,73.0
42097,,,
42099,,,
42101,-47.0,-18.0,-37.0
42103,,,
42105,,,
42107,-43.0,-43.0,-43.0
42109,,,
42111,-20.0,40.0,40.0
42113,,,
42115,,-42.0,-42.0
42117,,,
42119,,,
42121,,,
42123,-38.0,-38.0,-38.0
42125,45.0,15.0,27.0
42127,,,
42129,103.0,80.0,43.0
42131,,,
42133,-11.0,68.0,42.0
44001,,,
44003,-44.0,2.0,72.0
44005,-60.0,-34.0,-1.0
44007,-50.0,15.0,52.0
44009,-59.0,-3.0,91.0
45001,,,
45003,-1.0,-11.0,-19.0
45005,,,
45007,-1.0,7.0,8.0
45009,,,
45011,,,
45013,1.0,-45.0,-40.0
45015,47.0,13.0,7.0
45017,,,
45019,-35.0,-46.0,-58.0
45021,-7.0,-13.0,-13.0
45023,,,
45025,,,
45027,,,
45029,,,
45031,-36.0,-28.0,-28.0
45033,-41.0,-54.0,-64.0
45035,1.0,-23.0,-30.0
45037,,,
45039,,,
45041,-30.0,-2.0,4.0
45043,58.0,2.0,-23.0
45045,-35.0,-48.0,-41.0
45047,,,
45049,,,
45051,17.0,-31.0,-45.0
45053,-25.0,-54.0,-54.0
45055,,,
45057,,,
45059,,,
45061,,,
45063,24.0,10.0,7.0
45065,,,
45067,,,
45069,,,
45071,,,
45073,2.0,-7.0,-10.0
45075,,,
45077,3.0,-10.0,-17.0
45079,-37.0,-33.0,-37.0
45081,,,
45083,10.0,-6.0,21.0
45085,,,
45087,,,
45089,,,
45091,31.0,-12.0,-12.0
46005,,,
46009,,,
46011,,,
46013,,,
46015,,,
46019,,,
46023,,,
46027,,,
46029,,,
46033,,,
46035,,,
46041,,,
46047,,,
46051,,,
46057,,,
46065,,,
46067,,,
46077,,,
46079,,,
46081,-41.0,-26.0,-26.0
46083,,,
46087,,,
46093,,,
46099,141.0,67.0,13.0
46101,,,
46103,90.0,71.0,-58.0
46109,,,
46113,,,
46115,,,
46121,,,
46123,,,
46125,,,
46127,,,
46129,,,
46135,,,
47001,65.0,27.0,12.0
47003,,,
47005,,,
47007,,,
47009,35.0,22.0,65.0
47011,,,
47013,30.0,-4.0,4.0
47015,,,
47017,,,
47019,16.0,16.0,16.0
47021,,,
47023,,,
47025,,,
47027,,,
47029,-3.0,5.0,2.0
47031,,,
47033,,,
47035,,,
47037,-6.0,-34.0,-44.0
47039,,,
47041,,,
47043,,,
47045,,,
47047,,,
47049,,,
47051,,,
47053,,,
47055,,,
47057,,,
47059,,,
47061,,,
47063,,,
47065,17.0,-44.0,-25.0
47067,,,
47069,,,
47071,,,
47073,,,
47075,,,
47077,,,
47079,,,
47081,,,
47083,,,
47085,,,
47087,,,
47089,,,
47091,,,
47093,35.0,8.0,11.0
47097,,,
47099,,,
47101,,,
47103,,,
47105,,,
47107,,,
47109,,,
47111,,,
47113,-14.0,-22.0,-51.0
47115,29.0,-11.0,10.0
47117,,,
47119,-33.0,-33.0,-33.0
47121,,,
47123,,,
47125,91.0,23.0,58.0
47127,,,
47129,,,
47131,,,
47133,,,
47135,,,
47139,,,
47141,,,
47143,,,
47145,-19.0,-24.0,-24.0
47147,,,
47149,74.0,52.0,72.0
47151,,,
47153,,,
47155,-55.0,-65.0,-70.0
47157,0.0,-32.0,-45.0
47159,,,
47161,,,
47163,-22.0,101.0,41.0
47165,112.0,57.0,91.0
47167,,,
47169,,,
47171,,,
47173,,,
47175,,,
47177,,,
47179,-25.0,40.0,38.0
47181,,,
47183,,,
47185,,,
47187,76.0,27.0,47.0
47189,51.0,55.0,22.0
48001,,,
48003,,,
48005,-45.0,-52.0,-20.0
48007,-67.0,-59.0,-57.0
48009,,,
48013,,,
48015,,,
48017,,,
48019,-36.0,-49.0,-71.0
48021,-14.0,-55.0,-66.0
48025,,,
48027,8.0,-30.0,-25.0
48029,-46.0,-61.0,-73.0
48031,-50.0,-56.0,-71.0
48035,,,
48037,-11.0,-26.0,-29.0
48039,9.0,-12.0,-23.0
48041,-37.0,-49.0,-30.0
48043,,,
48047,,,
48049,,,
48051,,,
48053,8.0,-42.0,-62.0
48055,,,
48057,,-36.0,-38.0
48059,,,
48061,-70.0,-78.0,-74.0
48063,,,
48065,,,
48067,,,
48069,,,
48071,,-55.0,-55.0
48073,,,
48075,,,
48077,,,
48081,,,
48083,,,
48085,-11.0,-33.0,-44.0
48089,,,
48091,-30.0,-62.0,-70.0
48093,,,
48097,-8.0,-42.0,-38.0
48099,35.0,-5.0,-14.0
48103,,,
48105,,,
48107,,,
48109,,,
48111,,,
48113,-24.0,-46.0,-56.0
48115,,,
48117,,,
48119,,,
48121,1.0,-31.0,-40.0
48123,,,
48127,,,
48129,,,
48131,,,
48133,,,
48135,,,
48139,4.0,-20.0,-42.0
48141,-65.0,-78.0,-78.0
48143,,,
48145,,,
48147,,,
48149,,,
48153,,,
48157,-2.0,-22.0,-27.0
48159,,,
48161,,,
48163,,,
48165,,,
48167,-29.0,-48.0,-53.0
48169,,,
48171,-38.0,-68.0,-78.0
48175,,,
48177,-19.0,-57.0,-50.0
48179,,,
48181,47.0,-8.0,-35.0
48183,2.0,-25.0,-30.0
48185,,,
48187,-1.0,-31.0,-42.0
48189,,,
48191,,,
48193,,,
48197,,,
48199,,,
48201,-22.0,-38.0,-62.0
48203,-16.0,-36.0,-46.0
48205,,,
48207,,,
48209,-23.0,-45.0,-44.0
48213,-22.0,-41.0,-29.0
48215,-74.0,-78.0,-73.0
48217,,-42.0,-42.0
48219,,,
48221,-36.0,-53.0,-60.0
48223,,,
48225,,,
48227,,,
48231,-5.0,-52.0,-36.0
48233,,,
48237,,,
48239,,,
48241,25.0,13.0,15.0
48245,4.0,-13.0,-20.0
48247,,,
48249,,,
48251,19.0,-24.0,-28.0
48253,,,
48255,,,
48257,-26.0,-34.0,-49.0
48259,-61.0,-61.0,-56.0
48265,19.0,-30.0,-45.0
48267,,,
48273,-71.0,-70.0,-73.0
48277,,,
48279,,,
48281,,,
48283,,,
48285,,,
48287,,,
48289,,-33.0,-33.0
48291,,,
48293,,,
48297,,,
48299,10.0,-10.0,-24.0
48301,,,
48303,17.0,-14.0,34.0
48305,,,
48307,,,
48309,-12.0,-33.0,-31.0
48311,,,
48313,,,
48315,,,
48317,,,
48321,,-57.0,-57.0
48323,-82.0,-86.0,-90.0
48325,-54.0,-41.0,-59.0
48329,-45.0,-41.0,-43.0
48331,,,
48335,-70.0,-70.0,-70.0
48337,,,
48339,0.0,-33.0,-33.0
48341,,,
48343,,,
48347,-17.0,-8.0,-3.0
48349,-7.0,-47.0,-36.0
48351,,,
48353,,,
48355,-40.0,-38.0,-37.0
48357,,,
48359,,,
48361,-38.0,-36.0,-52.0
48363,,,
48365,,,
48367,2.0,-30.0,-41.0
48369,,,
48371,,,
48373,-7.0,-38.0,-24.0
48375,2.0,-23.0,-4.0
48377,,,
48379,,,
48381,-24.0,-44.0,-37.0
48383,,,
48385,,,
48387,,,
48389,,,
48391,,,
48395,,,
48397,,,
48399,,,
48401,,,
48403,,,
48405,,,
48407,-42.0,-40.0,-40.0
48409,-30.0,-33.0,-44.0
48411,,,
48415,,,
48419,,,
48421,,,
48423,-21.0,-40.0,-45.0
48425,,,
48427,-57.0,-60.0,-68.0
48429,,,
48435,,,
48437,,,
48439,-16.0,-42.0,-40.0
48441,,-54.0,-35.0
48445,,,
48449,,,
48451,18.0,-29.0,-50.0
48453,-19.0,-44.0,-63.0
48455,,,
48457,,,
48459,,,
48461,,,
48463,,-63.0,-63.0
48465,-53.0,-65.0,-35.0
48467,7.0,-9.0,-29.0
48469,-39.0,-63.0,-63.0
48471,-1.0,-33.0,-39.0
48473,,,
48475,,,
48477,,,
48479,-78.0,-72.0,-78.0
48481,,,
48483,,,
48485,-11.0,-23.0,-17.0
48487,,,
48489,,,
48491,-14.0,-36.0,-52.0
48493,-20.0,-49.0,-40.0
48495,,,
48497,8.0,-46.0,-37.0
48499,,,
48501,,,
48503,,,
48505,,,
48507,,,
49001,,,
49003,13.0,13.0,13.0
49005,66.0,63.0,47.0
49007,,,
49011,48.0,23.0,24.0
49013,,,
49015,,,
49017,13.0,11.0,-4.0
49019,-18.0,-34.0,-20.0
49021,,,
49023,,,
49025,21.0,13.0,-10.0
49027,,,
49029,,,
49035,16.0,6.0,14.0
49037,-7.0,-20.0,-30.0
49039,,,
49041,,,
49043,-47.0,-58.0,-48.0
49045,,,
49047,-20.0,0.0,0.0
49049,54.0,49.0,94.0
49051,-6.0,10.0,20.0
49053,-2.0,-13.0,-9.0
49057,76.0,49.0,57.0
50001,,,
50003,-23.0,-19.0,-35.0
50005,,,
50007,-50.0,7.0,1.0
50009,,,
50011,,,
50013,,,
50015,,,
50017,,,
50019,-46.0,-46.0,-46.0
50021,,,
50023,,,
50025,-38.0,-34.0,-36.0
50027,-63.0,-19.0,-24.0
51001,,,
51003,36.0,21.0,-2.0
51005,,,
51007,,,
51009,,,
51011,,,
51013,8.0,-1.0,-21.0
51015,-22.0,-22.0,-22.0
51017,-70.0,-69.0,-73.0
51019,,,
51021,,,
51023,,,
51025,,,
51027,,,
51029,,,
51031,,,
51033,-70.0,-72.0,-68.0
51035,,,
51036,,,
51037,,,
51041,27.0,19.0,34.0
51043,,,
51045,,,
51047,,,
51049,,,
51051,,,
51053,,,
51057,,,
51059,15.0,5.0,14.0
51061,,,
51063,,,
51065,,,
51067,,,
51069,-7.0,4.0,-13.0
51071,,,
51073,,,
51075,,,
51077,,,
51079,,,
51081,,,
51083,,,
51085,,,
51087,28.0,7.0,36.0
51089,,,
51093,,,
51095,-2.0,-2.0,-2.0
51097,,,
51099,,,
51101,,,
51103,,,
51105,,,
51107,-11.0,-6.0,-16.0
51109,,,
51111,,,
51113,,,
51115,,,
51117,2.0,2.0,4.0
51119,,,
51121,,,
51125,,,
51127,,,
51131,,,
51133,,,
51135,,,
51137,,,
51139,-17.0,-21.0,-29.0
51141,,,
51143,,,
51145,,,
51147,,,
51149,,,
51153,30.0,1.0,35.0
51155,,,
51157,,,
51159,,,
51161,,,
51163,,,
51165,-7.0,-7.0,25.0
51167,,,
51169,,,
51171,,,
51173,,,
51175,,,
51177,,,
51179,99.0,72.0,54.0
51181,,,
51183,,,
51185,,,
51187,,,
51191,,,
51193,,,
51195,,,
51197,,,
51199,31.0,-19.0,-15.0
53001,,,
53003,,,
53005,3.0,14.0,24.0
53007,-15.0,-20.0,-21.0
53009,-20.0,-19.0,3.0
53011,-3.0,46.0,53.0
53015,-23.0,6.0,28.0
53017,,,
53019,,,
53021,-16.0,-16.0,-16.0
53025,10.0,17.0,-1.0
53027,-16.0,-5.0,-9.0
53029,-12.0,-17.0,9.0
53031,-9.0,-13.0,-8.0
53033,0.0,-10.0,-5.0
53035,12.0,2.0,-10.0
53037,-43.0,-41.0,-26.0
53039,,,
53041,-37.0,-10.0,-11.0
53043,,,
53045,1.0,-3.0,15.0
53047,,,
53049,-27.0,-11.0,-26.0
53051,,,
53053,-17.0,-11.0,-2.0
53055,,,
53057,0.0,4.0,28.0
53059,-57.0,-43.0,-38.0
53061,-2.0,-8.0,18.0
53063,9.0,0.0,25.0
53065,0.0,-2.0,18.0
53067,-32.0,-19.0,-17.0
53071,,,
53073,-11.0,-18.0,-9.0
53075,,,
53077,0.0,-5.0,-4.0
54001,,,
54003,-9.0,-9.0,-18.0
54005,,,
54007,,,
54009,,,
54011,,,
54019,,,
54023,,,
54025,,,
54027,,,
54029,,,
54031,,,
54033,-24.0,-20.0,-43.0
54035,,,
54037,17.0,-9.0,-6.0
54039,-2.0,-16.0,-38.0
54041,,,
54043,,,
54045,,,
54047,,,
54049,,,
54051,,,
54053,,,
54055,-36.0,2.0,-42.0
54057,,,
54059,,,
54061,60.0,-3.0,-14.0
54063,,,
54065,,,
54067,,,
54069,-34.0,-43.0,-36.0
54073,,,
54075,4.0,-6.0,-33.0
54077,,,
54079,,,
54081,,,
54083,,,
54085,,,
54087,,,
54089,,,
54091,,,
54093,,,
54095,,,
54097,,,
54099,,,
54101,,,
54103,,,
54105,,,
54107,-21.0,-21.0,-6.0
54109,,,
55001,,,
55003,,,
55005,,,
55007,,,
55009,-26.0,123.0,106.0
55011,,,
55013,,,
55015,193.0,193.0,193.0
55017,,,
55019,,,
55021,,,
55023,,,
55025,-25.0,113.0,42.0
55027,-9.0,-9.0,-9.0
55029,,,
55031,,,
55033,,,
55035,-22.0,18.0,18.0
55037,,,
55039,-13.0,90.0,72.0
55041,,,
55043,,,
55045,,,
55047,,,
55049,,,
55051,,,
55053,,,
55055,-11.0,-11.0,-11.0
55057,,,
55059,-23.0,45.0,41.0
55061,,,
55063,-4.0,34.0,72.0
55065,,,
55067,,,
55069,,,
55071,11.0,37.0,81.0
55073,-50.0,24.0,11.0
55075,-15.0,-15.0,-15.0
55077,,,
55079,-9.0,79.0,49.0
55081,,,
55083,-58.0,-58.0,-58.0
55085,-50.0,-40.0,-22.0
55087,-41.0,52.0,80.0
55089,11.0,95.0,131.0
55091,,,
55093,,,
55095,-33.0,13.0,86.0
55097,-18.0,7.0,29.0
55099,,,
55101,-11.0,93.0,68.0
55103,,,
55105,-15.0,85.0,84.0
55107,,,
55109,-21.0,-38.0,-38.0
55111,-30.0,190.0,1.0
55113,,,
55115,,,
55117,4.0,122.0,85.0
55119,,,
55121,,,
55123,,,
55125,-46.0,-59.0,-46.0
55127,-33.0,51.0,54.0
55129,,,
55131,-22.0,143.0,92.0
55133,-23.0,141.0,89.0
55135,-25.0,-25.0,-25.0
55137,,,
55139,-11.0,139.0,141.0
55141,,,
56001,-4.0,-4.0,-4.0
56003,,,
56005,,,
56007,,,
56009,,,
56011,,,
56013,,,
56015,,,
56017,-56.0,-62.0,-62.0
56019,,,
56021,26.0,65.0,23.0
56023,,,
56025,64.0,39.0,22.0
56029,,,
56031,,,
56033,,,
56035,,,
56037,,,
56039,-57.0,-69.0,-63.0
56041,,,
56043,,,
56045,,,
