,fips,03/01/20_M_idx,03/01/20_M_m50,03/01/20_M_samples,03/02/20_M_idx,03/02/20_M_m50,03/02/20_M_samples,03/03/20_M_idx,03/03/20_M_m50,03/03/20_M_samples,03/04/20_M_idx,03/04/20_M_m50,03/04/20_M_samples,03/05/20_M_idx,03/05/20_M_m50,03/05/20_M_samples,03/06/20_M_idx,03/06/20_M_m50,03/06/20_M_samples,03/07/20_M_idx,03/07/20_M_m50,03/07/20_M_samples,03/08/20_M_idx,03/08/20_M_m50,03/08/20_M_samples,03/09/20_M_idx,03/09/20_M_m50,03/09/20_M_samples,03/10/20_M_idx,03/10/20_M_m50,03/10/20_M_samples,03/11/20_M_idx,03/11/20_M_m50,03/11/20_M_samples,03/12/20_M_idx,03/12/20_M_m50,03/12/20_M_samples,03/13/20_M_idx,03/13/20_M_m50,03/13/20_M_samples,03/14/20_M_idx,03/14/20_M_m50,03/14/20_M_samples,03/15/20_M_idx,03/15/20_M_m50,03/15/20_M_samples,03/16/20_M_idx,03/16/20_M_m50,03/16/20_M_samples,03/17/20_M_idx,03/17/20_M_m50,03/17/20_M_samples,03/18/20_M_idx,03/18/20_M_m50,03/18/20_M_samples,03/19/20_M_idx,03/19/20_M_m50,03/19/20_M_samples,03/20/20_M_idx,03/20/20_M_m50,03/20/20_M_samples,03/21/20_M_idx,03/21/20_M_m50,03/21/20_M_samples,03/22/20_M_idx,03/22/20_M_m50,03/22/20_M_samples,03/23/20_M_idx,03/23/20_M_m50,03/23/20_M_samples,03/24/20_M_idx,03/24/20_M_m50,03/24/20_M_samples,03/25/20_M_idx,03/25/20_M_m50,03/25/20_M_samples,03/26/20_M_idx,03/26/20_M_m50,03/26/20_M_samples,03/27/20_M_idx,03/27/20_M_m50,03/27/20_M_samples,03/28/20_M_idx,03/28/20_M_m50,03/28/20_M_samples,03/29/20_M_idx,03/29/20_M_m50,03/29/20_M_samples,03/30/20_M_idx,03/30/20_M_m50,03/30/20_M_samples,03/31/20_M_idx,03/31/20_M_m50,03/31/20_M_samples,04/01/20_M_idx,04/01/20_M_m50,04/01/20_M_samples,04/02/20_M_idx,04/02/20_M_m50,04/02/20_M_samples,04/03/20_M_idx,04/03/20_M_m50,04/03/20_M_samples,04/04/20_M_idx,04/04/20_M_m50,04/04/20_M_samples,04/05/20_M_idx,04/05/20_M_m50,04/05/20_M_samples
0,1.0,79.0,8.331,133826.0,98.0,10.398,143632.0,100.0,10.538,146009.0,96.0,10.144,149352.0,104.0,10.982000000000001,144109.0,123.0,13.024000000000001,141491.0,107.0,11.373,141163.0,80.0,8.513,138075.0,103.0,10.901,145037.0,103.0,10.892000000000001,143390.0,103.0,10.954,143775.0,111.0,11.755,141531.0,116.0,12.269,138766.0,89.0,9.379,135267.0,60.0,6.3839999999999995,131636.0,90.0,9.49,134064.0,78.0,8.263,137404.0,72.0,7.662000000000001,133274.0,74.0,7.8629999999999995,130158.0,78.0,8.325,122306.0,49.0,5.233,104381.0,27.0,2.903,118961.0,51.0,5.398,128380.0,52.0,5.519,132352.0,59.0,6.305,128921.0,60.0,6.3629999999999995,130572.0,66.0,6.956,129899.0,45.0,4.772,128521.0,25.0,2.739,132096.0,48.0,5.148,132085.0,42.0,4.49,132317.0,53.0,5.619,131723.0,55.0,5.876,131971.0,62.0,6.624,130966.0,40.0,4.2410000000000005,126566.0,11.0,1.1909999999999998,126988.0
1,2.0,20.0,0.8079999999999999,7782.0,86.0,3.463,8215.0,94.0,3.7910000000000004,8245.0,100.0,4.003,8385.0,101.0,4.072,8069.0,108.0,4.351,8220.0,58.0,2.3369999999999997,7959.0,20.0,0.816,8060.0,74.0,3.002,8147.0,88.0,3.5239999999999996,7902.0,91.0,3.678,7904.0,90.0,3.605,7648.0,97.0,3.884,7555.0,39.0,1.601,7254.0,13.0,0.5589999999999999,7098.0,74.0,2.9760000000000004,7330.0,61.0,2.45,7728.0,45.0,1.81,7641.0,30.0,1.23,7421.0,44.0,1.7830000000000001,7150.0,0.0,0.04,6304.0,0.0,0.04,6835.0,6.0,0.278,7616.0,3.0,0.16,7980.0,2.0,0.114,7844.0,4.0,0.168,7940.0,6.0,0.278,8000.0,0.0,0.038,7748.0,0.0,0.031,8644.0,1.0,0.052000000000000005,8858.0,2.0,0.08900000000000001,9083.0,1.0,0.067,8641.0,1.0,0.061,8796.0,8.0,0.34299999999999997,8223.0,1.0,0.048,8202.0,0.0,0.036000000000000004,8176.0
2,4.0,60.0,4.749,121939.0,96.0,7.555,126957.0,98.0,7.665,129004.0,100.0,7.819,131541.0,106.0,8.359,126999.0,114.0,8.954,125203.0,91.0,7.167000000000001,125403.0,62.0,4.902,124129.0,95.0,7.477,126534.0,95.0,7.438,125845.0,91.0,7.156000000000001,126545.0,89.0,6.968999999999999,124075.0,95.0,7.441,122646.0,68.0,5.3870000000000005,119059.0,46.0,3.6210000000000004,117271.0,75.0,5.885,118045.0,63.0,4.966,121978.0,46.0,3.6430000000000002,119575.0,39.0,3.091,114989.0,53.0,4.19,110040.0,21.0,1.66,99749.0,8.0,0.6629999999999999,109420.0,28.0,2.246,116486.0,26.0,2.097,119805.0,27.0,2.149,115666.0,23.0,1.874,118088.0,27.0,2.154,116861.0,11.0,0.9329999999999999,116517.0,2.0,0.20600000000000002,120047.0,18.0,1.44,120359.0,18.0,1.462,120195.0,11.0,0.875,118915.0,13.0,1.0859999999999999,117460.0,21.0,1.6480000000000001,116632.0,7.0,0.625,114796.0,0.0,0.061,117391.0
3,5.0,73.0,7.026,73333.0,97.0,9.267999999999999,77902.0,100.0,9.547,78919.0,97.0,9.347000000000001,80793.0,105.0,10.079,78242.0,125.0,11.948,76849.0,108.0,10.333,76244.0,76.0,7.334,75613.0,89.0,8.582,79647.0,99.0,9.527000000000001,79465.0,96.0,9.225,79609.0,100.0,9.633,78625.0,102.0,9.743,76915.0,68.0,6.541,74898.0,52.0,4.994,72962.0,76.0,7.261,73513.0,70.0,6.732,75821.0,64.0,6.119,73859.0,63.0,6.102,73106.0,76.0,7.268,67688.0,48.0,4.644,57931.0,17.0,1.713,64791.0,53.0,5.149,71292.0,50.0,4.78,73108.0,60.0,5.765,71180.0,63.0,6.095,72838.0,63.0,6.037000000000001,72537.0,32.0,3.0860000000000003,71315.0,34.0,3.304,73785.0,45.0,4.314,73751.0,50.0,4.822,73934.0,55.0,5.306,73700.0,56.0,5.436,73777.0,54.0,5.184,73016.0,29.0,2.818,70152.0,23.0,2.213,71446.0
4,6.0,60.0,4.122,451282.0,98.0,6.725,457175.0,100.0,6.8420000000000005,472598.0,99.0,6.827000000000001,481255.0,106.0,7.27,458159.0,111.0,7.649,446703.0,87.0,5.97,449691.0,62.0,4.292,453899.0,92.0,6.3389999999999995,473532.0,95.0,6.522,443272.0,96.0,6.591,469395.0,90.0,6.159,462734.0,91.0,6.232,449089.0,51.0,3.512,438905.0,32.0,2.195,425702.0,66.0,4.541,394102.0,47.0,3.222,410186.0,41.0,2.8480000000000003,382315.0,29.0,2.003,371654.0,36.0,2.498,333099.0,10.0,0.721,285539.0,3.0,0.267,349210.0,14.0,0.961,375438.0,11.0,0.779,395032.0,15.0,1.046,376378.0,13.0,0.922,385779.0,22.0,1.5530000000000002,362058.0,3.0,0.251,380862.0,0.0,0.05,391174.0,8.0,0.609,401335.0,10.0,0.75,401469.0,11.0,0.807,397929.0,13.0,0.899,391404.0,19.0,1.354,386905.0,3.0,0.23,383533.0,0.0,0.033,411145.0
5,8.0,55.0,3.884,92976.0,91.0,6.412000000000001,95557.0,98.0,6.914,97493.0,99.0,7.046,99724.0,103.0,7.3229999999999995,96419.0,113.0,8.017999999999999,94724.0,91.0,6.42,96419.0,60.0,4.284,98031.0,96.0,6.771,101639.0,98.0,6.95,100060.0,101.0,7.156000000000001,100308.0,101.0,7.126,98490.0,92.0,6.494,95506.0,56.0,3.9739999999999998,91758.0,33.0,2.384,90223.0,66.0,4.694,89643.0,45.0,3.2110000000000003,91734.0,44.0,3.1510000000000002,89817.0,5.0,0.408,85109.0,22.0,1.6059999999999999,79367.0,5.0,0.41100000000000003,72243.0,3.0,0.26899999999999996,81890.0,21.0,1.538,87575.0,18.0,1.3119999999999998,90801.0,20.0,1.463,87662.0,2.0,0.19899999999999998,89109.0,1.0,0.113,88177.0,0.0,0.040999999999999995,88322.0,0.0,0.039,91146.0,2.0,0.15,91978.0,8.0,0.568,91444.0,6.0,0.449,91421.0,0.0,0.055999999999999994,89512.0,4.0,0.282,88238.0,1.0,0.10800000000000001,87715.0,0.0,0.049,89651.0
6,9.0,61.0,4.172,48664.0,99.0,6.702999999999999,51311.0,98.0,6.615,52811.0,100.0,6.74,55096.0,107.0,7.25,52620.0,111.0,7.54,51831.0,87.0,5.8660000000000005,51258.0,60.0,4.067,51024.0,98.0,6.607,53579.0,98.0,6.638,52997.0,96.0,6.51,52376.0,96.0,6.494,51967.0,85.0,5.7620000000000005,50038.0,57.0,3.85,48044.0,32.0,2.174,47283.0,60.0,4.056,47748.0,39.0,2.6660000000000004,49659.0,38.0,2.5980000000000003,48583.0,32.0,2.174,48129.0,44.0,2.992,44355.0,12.0,0.8490000000000001,38889.0,2.0,0.188,43150.0,1.0,0.092,47178.0,7.0,0.537,48780.0,5.0,0.344,46710.0,14.0,0.997,48661.0,20.0,1.401,48669.0,1.0,0.07,47069.0,0.0,0.033,48640.0,1.0,0.12300000000000001,49599.0,4.0,0.299,49396.0,6.0,0.462,49830.0,5.0,0.396,48542.0,5.0,0.37200000000000005,47649.0,4.0,0.318,47142.0,0.0,0.05,48687.0
7,10.0,59.0,4.981,16313.0,99.0,8.269,17024.0,100.0,8.322000000000001,17324.0,97.0,8.092,18139.0,103.0,8.654,17288.0,105.0,8.773,16886.0,88.0,7.3420000000000005,17004.0,64.0,5.37,16859.0,94.0,7.845,17540.0,95.0,7.9639999999999995,17410.0,95.0,7.986000000000001,17289.0,101.0,8.439,17045.0,96.0,8.015,16417.0,61.0,5.126,16017.0,34.0,2.888,15764.0,68.0,5.704,15800.0,54.0,4.496,16577.0,44.0,3.728,16088.0,42.0,3.517,16023.0,55.0,4.59,15233.0,11.0,0.991,13485.0,2.0,0.19,14627.0,21.0,1.758,15819.0,7.0,0.6609999999999999,16257.0,1.0,0.135,15509.0,16.0,1.3659999999999999,16125.0,21.0,1.7890000000000001,16124.0,0.0,0.044000000000000004,15743.0,0.0,0.047,16656.0,9.0,0.8,16630.0,3.0,0.32899999999999996,16476.0,7.0,0.612,16488.0,12.0,1.034,16049.0,16.0,1.3359999999999999,16025.0,1.0,0.102,15642.0,0.0,0.054000000000000006,16242.0
8,11.0,102.0,3.739,4735.0,76.0,2.798,4344.0,98.0,3.583,5165.0,100.0,3.656,5349.0,106.0,3.9019999999999997,4956.0,116.0,4.268,4874.0,108.0,3.966,4928.0,123.0,4.506,5380.0,92.0,3.377,5199.0,96.0,3.5189999999999997,5090.0,99.0,3.623,4993.0,101.0,3.7289999999999996,4887.0,110.0,4.044,4342.0,86.0,3.1630000000000003,3675.0,30.0,1.112,3428.0,35.0,1.2930000000000001,3253.0,12.0,0.456,3536.0,9.0,0.349,3235.0,5.0,0.2,3212.0,11.0,0.40299999999999997,2822.0,1.0,0.043,2353.0,0.0,0.035,2358.0,0.0,0.027000000000000003,2923.0,0.0,0.031,2988.0,0.0,0.025,2621.0,0.0,0.033,2882.0,1.0,0.045,2873.0,0.0,0.022000000000000002,2613.0,0.0,0.023,2675.0,0.0,0.031,2972.0,0.0,0.025,3010.0,0.0,0.023,3017.0,0.0,0.032,2795.0,0.0,0.035,2698.0,0.0,0.023,2476.0,0.0,0.024,2851.0
9,12.0,71.0,5.847,448216.0,99.0,8.127,471849.0,100.0,8.147,478867.0,99.0,8.133,491475.0,104.0,8.485,476604.0,111.0,9.065,473093.0,92.0,7.541,473994.0,68.0,5.558,470542.0,96.0,7.855,488402.0,99.0,8.086,484678.0,101.0,8.236,481888.0,102.0,8.323,477395.0,102.0,8.39,465646.0,75.0,6.142,450586.0,52.0,4.27,440176.0,76.0,6.247000000000001,443600.0,66.0,5.416,457676.0,55.0,4.543,443087.0,56.0,4.64,438077.0,61.0,5.033,404983.0,26.0,2.1919999999999997,353145.0,10.0,0.865,391058.0,33.0,2.741,423791.0,29.0,2.412,431097.0,31.0,2.542,418708.0,28.0,2.301,426128.0,27.0,2.278,423223.0,8.0,0.655,415200.0,1.0,0.142,433201.0,15.0,1.264,429357.0,17.0,1.385,430965.0,20.0,1.6909999999999998,428573.0,23.0,1.919,422439.0,17.0,1.4080000000000001,416301.0,4.0,0.353,404369.0,0.0,0.039,413138.0
10,13.0,78.0,7.651,234185.0,100.0,9.767999999999999,249871.0,99.0,9.738999999999999,254964.0,97.0,9.549,262336.0,100.0,9.845,252180.0,118.0,11.54,247118.0,103.0,10.109,246809.0,76.0,7.459,241681.0,101.0,9.91,255226.0,101.0,9.895,253415.0,104.0,10.235,252274.0,106.0,10.449000000000002,249454.0,105.0,10.295,243546.0,75.0,7.401,235973.0,46.0,4.556,229316.0,75.0,7.337999999999999,233332.0,65.0,6.37,241114.0,57.0,5.615,234785.0,63.0,6.212000000000001,231545.0,69.0,6.771,216529.0,42.0,4.105,190822.0,14.0,1.4269999999999998,211168.0,35.0,3.438,228711.0,32.0,3.165,235572.0,40.0,3.9330000000000003,228497.0,39.0,3.892,232158.0,46.0,4.573,231531.0,27.0,2.699,227222.0,10.0,1.005,233682.0,31.0,3.056,235463.0,25.0,2.448,234579.0,35.0,3.4189999999999996,233345.0,41.0,4.055,232891.0,36.0,3.572,228651.0,8.0,0.8340000000000001,219617.0,2.0,0.212,225539.0
11,15.0,68.0,4.614,19945.0,97.0,6.59,20876.0,99.0,6.7620000000000005,21151.0,100.0,6.778,21408.0,104.0,7.105,20794.0,110.0,7.5089999999999995,20711.0,96.0,6.541,20913.0,78.0,5.32,21075.0,99.0,6.745,21637.0,105.0,7.166,21525.0,102.0,6.95,21774.0,97.0,6.587000000000001,20195.0,112.0,7.646,20633.0,91.0,6.21,20255.0,67.0,4.546,19743.0,82.0,5.6,19870.0,69.0,4.715,20330.0,73.0,4.97,19810.0,47.0,3.222,17037.0,72.0,4.882,17390.0,34.0,2.369,15037.0,23.0,1.62,17330.0,45.0,3.1010000000000004,17918.0,29.0,1.994,18123.0,24.0,1.645,17280.0,15.0,1.054,17364.0,22.0,1.5030000000000001,17374.0,6.0,0.424,17154.0,0.0,0.059000000000000004,18316.0,17.0,1.1840000000000002,17653.0,19.0,1.301,18085.0,21.0,1.4669999999999999,17479.0,21.0,1.436,17647.0,28.0,1.9609999999999999,17646.0,11.0,0.787,17409.0,2.0,0.17800000000000002,17331.0
12,16.0,47.0,2.5660000000000003,25095.0,97.0,5.3389999999999995,26229.0,98.0,5.396,26614.0,100.0,5.454,27250.0,108.0,5.891,26249.0,115.0,6.319,25661.0,83.0,4.552,26044.0,51.0,2.806,25952.0,97.0,5.331,26828.0,102.0,5.587999999999999,26484.0,105.0,5.7379999999999995,26700.0,106.0,5.8,26030.0,113.0,6.192,25661.0,62.0,3.387,24893.0,31.0,1.705,24559.0,86.0,4.737,25037.0,76.0,4.187,25755.0,70.0,3.865,25313.0,65.0,3.595,24749.0,73.0,4.0169999999999995,24006.0,35.0,1.936,21598.0,15.0,0.84,23625.0,50.0,2.7289999999999996,24794.0,48.0,2.639,25901.0,44.0,2.414,25025.0,27.0,1.483,25598.0,30.0,1.685,25349.0,6.0,0.35200000000000004,25247.0,0.0,0.044000000000000004,26091.0,19.0,1.063,26288.0,19.0,1.077,26591.0,21.0,1.162,27116.0,22.0,1.209,26415.0,31.0,1.713,26111.0,7.0,0.409,25637.0,0.0,0.044000000000000004,26298.0
13,17.0,70.0,5.142,230203.0,97.0,7.0920000000000005,241730.0,100.0,7.263,247251.0,99.0,7.255,253725.0,103.0,7.506,246790.0,113.0,8.22,242530.0,96.0,7.032,242209.0,69.0,5.052,242810.0,90.0,6.599,249928.0,97.0,7.067,247305.0,98.0,7.182,246489.0,98.0,7.147,244335.0,99.0,7.233,238507.0,60.0,4.398,230187.0,39.0,2.8680000000000003,224914.0,68.0,4.977,226573.0,49.0,3.582,236559.0,36.0,2.678,227145.0,35.0,2.574,226680.0,51.0,3.722,206219.0,10.0,0.762,177646.0,0.0,0.038,198647.0,5.0,0.42700000000000005,223431.0,9.0,0.696,229114.0,17.0,1.268,221719.0,11.0,0.805,226648.0,15.0,1.1440000000000001,228766.0,1.0,0.1,228719.0,0.0,0.046,231442.0,10.0,0.736,232459.0,9.0,0.7120000000000001,228947.0,14.0,1.03,228163.0,16.0,1.209,226523.0,22.0,1.642,224455.0,4.0,0.292,217988.0,1.0,0.077,225546.0
14,18.0,66.0,5.497000000000001,125061.0,94.0,7.8839999999999995,131429.0,100.0,8.322000000000001,133980.0,98.0,8.167,138517.0,103.0,8.579,133461.0,114.0,9.539,130719.0,94.0,7.864,129982.0,67.0,5.651,128443.0,91.0,7.625,135341.0,93.0,7.817,133970.0,96.0,8.002,133136.0,96.0,8.015,132459.0,101.0,8.453,128105.0,58.0,4.84,123010.0,40.0,3.41,120169.0,74.0,6.232,122388.0,63.0,5.303999999999999,127297.0,52.0,4.346,123965.0,52.0,4.388,123661.0,61.0,5.0969999999999995,115803.0,20.0,1.692,100600.0,3.0,0.26,112398.0,37.0,3.1439999999999997,121802.0,32.0,2.6719999999999997,125629.0,19.0,1.6019999999999999,121397.0,20.0,1.686,124313.0,23.0,1.939,124496.0,3.0,0.298,125777.0,0.0,0.068,128181.0,17.0,1.463,127367.0,17.0,1.422,127060.0,19.0,1.604,127125.0,26.0,2.224,125911.0,34.0,2.8939999999999997,124219.0,8.0,0.72,121070.0,1.0,0.11699999999999999,123577.0
