,fips,03/01/20_M_m50,03/02/20_M_m50,03/03/20_M_m50,03/04/20_M_m50,03/05/20_M_m50,03/06/20_M_m50,03/07/20_M_m50,03/08/20_M_m50,03/09/20_M_m50,03/10/20_M_m50,03/11/20_M_m50,03/12/20_M_m50,03/13/20_M_m50,03/14/20_M_m50,03/15/20_M_m50,03/16/20_M_m50,03/17/20_M_m50,03/18/20_M_m50,03/19/20_M_m50,03/20/20_M_m50,03/21/20_M_m50,03/22/20_M_m50,03/23/20_M_m50,03/24/20_M_m50,03/25/20_M_m50,03/26/20_M_m50,03/27/20_M_m50,03/28/20_M_m50,03/29/20_M_m50,03/30/20_M_m50,03/31/20_M_m50,04/01/20_M_m50,04/02/20_M_m50,04/03/20_M_m50,04/04/20_M_m50,04/05/20_M_m50,03/01/20_M_idx,03/02/20_M_idx,03/03/20_M_idx,03/04/20_M_idx,03/05/20_M_idx,03/06/20_M_idx,03/07/20_M_idx,03/08/20_M_idx,03/09/20_M_idx,03/10/20_M_idx,03/11/20_M_idx,03/12/20_M_idx,03/13/20_M_idx,03/14/20_M_idx,03/15/20_M_idx,03/16/20_M_idx,03/17/20_M_idx,03/18/20_M_idx,03/19/20_M_idx,03/20/20_M_idx,03/21/20_M_idx,03/22/20_M_idx,03/23/20_M_idx,03/24/20_M_idx,03/25/20_M_idx,03/26/20_M_idx,03/27/20_M_idx,03/28/20_M_idx,03/29/20_M_idx,03/30/20_M_idx,03/31/20_M_idx,04/01/20_M_idx,04/02/20_M_idx,04/03/20_M_idx,04/04/20_M_idx,04/05/20_M_idx,03/01/20_M_samples,03/02/20_M_samples,03/03/20_M_samples,03/04/20_M_samples,03/05/20_M_samples,03/06/20_M_samples,03/07/20_M_samples,03/08/20_M_samples,03/09/20_M_samples,03/10/20_M_samples,03/11/20_M_samples,03/12/20_M_samples,03/13/20_M_samples,03/14/20_M_samples,03/15/20_M_samples,03/16/20_M_samples,03/17/20_M_samples,03/18/20_M_samples,03/19/20_M_samples,03/20/20_M_samples,03/21/20_M_samples,03/22/20_M_samples,03/23/20_M_samples,03/24/20_M_samples,03/25/20_M_samples,03/26/20_M_samples,03/27/20_M_samples,03/28/20_M_samples,03/29/20_M_samples,03/30/20_M_samples,03/31/20_M_samples,04/01/20_M_samples,04/02/20_M_samples,04/03/20_M_samples,04/04/20_M_samples,04/05/20_M_samples
0,1.0,8.331,10.398,10.538,10.144,10.982000000000001,13.024000000000001,11.373,8.513,10.901,10.892000000000001,10.954,11.755,12.269,9.379,6.3839999999999995,9.49,8.263,7.662000000000001,7.8629999999999995,8.325,5.233,2.903,5.398,5.519,6.305,6.3629999999999995,6.956,4.772,2.739,5.148,4.49,5.619,5.876,6.624,4.2410000000000005,1.1909999999999998,79.0,98.0,100.0,96.0,104.0,123.0,107.0,80.0,103.0,103.0,103.0,111.0,116.0,89.0,60.0,90.0,78.0,72.0,74.0,78.0,49.0,27.0,51.0,52.0,59.0,60.0,66.0,45.0,25.0,48.0,42.0,53.0,55.0,62.0,40.0,11.0,133826.0,143632.0,146009.0,149352.0,144109.0,141491.0,141163.0,138075.0,145037.0,143390.0,143775.0,141531.0,138766.0,135267.0,131636.0,134064.0,137404.0,133274.0,130158.0,122306.0,104381.0,118961.0,128380.0,132352.0,128921.0,130572.0,129899.0,128521.0,132096.0,132085.0,132317.0,131723.0,131971.0,130966.0,126566.0,126988.0
1,2.0,0.8079999999999999,3.463,3.7910000000000004,4.003,4.072,4.351,2.3369999999999997,0.816,3.002,3.5239999999999996,3.678,3.605,3.884,1.601,0.5589999999999999,2.9760000000000004,2.45,1.81,1.23,1.7830000000000001,0.04,0.04,0.278,0.16,0.114,0.168,0.278,0.038,0.031,0.052000000000000005,0.08900000000000001,0.067,0.061,0.34299999999999997,0.048,0.036000000000000004,20.0,86.0,94.0,100.0,101.0,108.0,58.0,20.0,74.0,88.0,91.0,90.0,97.0,39.0,13.0,74.0,61.0,45.0,30.0,44.0,0.0,0.0,6.0,3.0,2.0,4.0,6.0,0.0,0.0,1.0,2.0,1.0,1.0,8.0,1.0,0.0,7782.0,8215.0,8245.0,8385.0,8069.0,8220.0,7959.0,8060.0,8147.0,7902.0,7904.0,7648.0,7555.0,7254.0,7098.0,7330.0,7728.0,7641.0,7421.0,7150.0,6304.0,6835.0,7616.0,7980.0,7844.0,7940.0,8000.0,7748.0,8644.0,8858.0,9083.0,8641.0,8796.0,8223.0,8202.0,8176.0
2,4.0,4.749,7.555,7.665,7.819,8.359,8.954,7.167000000000001,4.902,7.477,7.438,7.156000000000001,6.968999999999999,7.441,5.3870000000000005,3.6210000000000004,5.885,4.966,3.6430000000000002,3.091,4.19,1.66,0.6629999999999999,2.246,2.097,2.149,1.874,2.154,0.9329999999999999,0.20600000000000002,1.44,1.462,0.875,1.0859999999999999,1.6480000000000001,0.625,0.061,60.0,96.0,98.0,100.0,106.0,114.0,91.0,62.0,95.0,95.0,91.0,89.0,95.0,68.0,46.0,75.0,63.0,46.0,39.0,53.0,21.0,8.0,28.0,26.0,27.0,23.0,27.0,11.0,2.0,18.0,18.0,11.0,13.0,21.0,7.0,0.0,121939.0,126957.0,129004.0,131541.0,126999.0,125203.0,125403.0,124129.0,126534.0,125845.0,126545.0,124075.0,122646.0,119059.0,117271.0,118045.0,121978.0,119575.0,114989.0,110040.0,99749.0,109420.0,116486.0,119805.0,115666.0,118088.0,116861.0,116517.0,120047.0,120359.0,120195.0,118915.0,117460.0,116632.0,114796.0,117391.0
3,5.0,7.026,9.267999999999999,9.547,9.347000000000001,10.079,11.948,10.333,7.334,8.582,9.527000000000001,9.225,9.633,9.743,6.541,4.994,7.261,6.732,6.119,6.102,7.268,4.644,1.713,5.149,4.78,5.765,6.095,6.037000000000001,3.0860000000000003,3.304,4.314,4.822,5.306,5.436,5.184,2.818,2.213,73.0,97.0,100.0,97.0,105.0,125.0,108.0,76.0,89.0,99.0,96.0,100.0,102.0,68.0,52.0,76.0,70.0,64.0,63.0,76.0,48.0,17.0,53.0,50.0,60.0,63.0,63.0,32.0,34.0,45.0,50.0,55.0,56.0,54.0,29.0,23.0,73333.0,77902.0,78919.0,80793.0,78242.0,76849.0,76244.0,75613.0,79647.0,79465.0,79609.0,78625.0,76915.0,74898.0,72962.0,73513.0,75821.0,73859.0,73106.0,67688.0,57931.0,64791.0,71292.0,73108.0,71180.0,72838.0,72537.0,71315.0,73785.0,73751.0,73934.0,73700.0,73777.0,73016.0,70152.0,71446.0
4,6.0,4.122,6.725,6.8420000000000005,6.827000000000001,7.27,7.649,5.97,4.292,6.3389999999999995,6.522,6.591,6.159,6.232,3.512,2.195,4.541,3.222,2.8480000000000003,2.003,2.498,0.721,0.267,0.961,0.779,1.046,0.922,1.5530000000000002,0.251,0.05,0.609,0.75,0.807,0.899,1.354,0.23,0.033,60.0,98.0,100.0,99.0,106.0,111.0,87.0,62.0,92.0,95.0,96.0,90.0,91.0,51.0,32.0,66.0,47.0,41.0,29.0,36.0,10.0,3.0,14.0,11.0,15.0,13.0,22.0,3.0,0.0,8.0,10.0,11.0,13.0,19.0,3.0,0.0,451282.0,457175.0,472598.0,481255.0,458159.0,446703.0,449691.0,453899.0,473532.0,443272.0,469395.0,462734.0,449089.0,438905.0,425702.0,394102.0,410186.0,382315.0,371654.0,333099.0,285539.0,349210.0,375438.0,395032.0,376378.0,385779.0,362058.0,380862.0,391174.0,401335.0,401469.0,397929.0,391404.0,386905.0,383533.0,411145.0
5,8.0,3.884,6.412000000000001,6.914,7.046,7.3229999999999995,8.017999999999999,6.42,4.284,6.771,6.95,7.156000000000001,7.126,6.494,3.9739999999999998,2.384,4.694,3.2110000000000003,3.1510000000000002,0.408,1.6059999999999999,0.41100000000000003,0.26899999999999996,1.538,1.3119999999999998,1.463,0.19899999999999998,0.113,0.040999999999999995,0.039,0.15,0.568,0.449,0.055999999999999994,0.282,0.10800000000000001,0.049,55.0,91.0,98.0,99.0,103.0,113.0,91.0,60.0,96.0,98.0,101.0,101.0,92.0,56.0,33.0,66.0,45.0,44.0,5.0,22.0,5.0,3.0,21.0,18.0,20.0,2.0,1.0,0.0,0.0,2.0,8.0,6.0,0.0,4.0,1.0,0.0,92976.0,95557.0,97493.0,99724.0,96419.0,94724.0,96419.0,98031.0,101639.0,100060.0,100308.0,98490.0,95506.0,91758.0,90223.0,89643.0,91734.0,89817.0,85109.0,79367.0,72243.0,81890.0,87575.0,90801.0,87662.0,89109.0,88177.0,88322.0,91146.0,91978.0,91444.0,91421.0,89512.0,88238.0,87715.0,89651.0
6,9.0,4.172,6.702999999999999,6.615,6.74,7.25,7.54,5.8660000000000005,4.067,6.607,6.638,6.51,6.494,5.7620000000000005,3.85,2.174,4.056,2.6660000000000004,2.5980000000000003,2.174,2.992,0.8490000000000001,0.188,0.092,0.537,0.344,0.997,1.401,0.07,0.033,0.12300000000000001,0.299,0.462,0.396,0.37200000000000005,0.318,0.05,61.0,99.0,98.0,100.0,107.0,111.0,87.0,60.0,98.0,98.0,96.0,96.0,85.0,57.0,32.0,60.0,39.0,38.0,32.0,44.0,12.0,2.0,1.0,7.0,5.0,14.0,20.0,1.0,0.0,1.0,4.0,6.0,5.0,5.0,4.0,0.0,48664.0,51311.0,52811.0,55096.0,52620.0,51831.0,51258.0,51024.0,53579.0,52997.0,52376.0,51967.0,50038.0,48044.0,47283.0,47748.0,49659.0,48583.0,48129.0,44355.0,38889.0,43150.0,47178.0,48780.0,46710.0,48661.0,48669.0,47069.0,48640.0,49599.0,49396.0,49830.0,48542.0,47649.0,47142.0,48687.0
7,10.0,4.981,8.269,8.322000000000001,8.092,8.654,8.773,7.3420000000000005,5.37,7.845,7.9639999999999995,7.986000000000001,8.439,8.015,5.126,2.888,5.704,4.496,3.728,3.517,4.59,0.991,0.19,1.758,0.6609999999999999,0.135,1.3659999999999999,1.7890000000000001,0.044000000000000004,0.047,0.8,0.32899999999999996,0.612,1.034,1.3359999999999999,0.102,0.054000000000000006,59.0,99.0,100.0,97.0,103.0,105.0,88.0,64.0,94.0,95.0,95.0,101.0,96.0,61.0,34.0,68.0,54.0,44.0,42.0,55.0,11.0,2.0,21.0,7.0,1.0,16.0,21.0,0.0,0.0,9.0,3.0,7.0,12.0,16.0,1.0,0.0,16313.0,17024.0,17324.0,18139.0,17288.0,16886.0,17004.0,16859.0,17540.0,17410.0,17289.0,17045.0,16417.0,16017.0,15764.0,15800.0,16577.0,16088.0,16023.0,15233.0,13485.0,14627.0,15819.0,16257.0,15509.0,16125.0,16124.0,15743.0,16656.0,16630.0,16476.0,16488.0,16049.0,16025.0,15642.0,16242.0
8,11.0,3.739,2.798,3.583,3.656,3.9019999999999997,4.268,3.966,4.506,3.377,3.5189999999999997,3.623,3.7289999999999996,4.044,3.1630000000000003,1.112,1.2930000000000001,0.456,0.349,0.2,0.40299999999999997,0.043,0.035,0.027000000000000003,0.031,0.025,0.033,0.045,0.022000000000000002,0.023,0.031,0.025,0.023,0.032,0.035,0.023,0.024,102.0,76.0,98.0,100.0,106.0,116.0,108.0,123.0,92.0,96.0,99.0,101.0,110.0,86.0,30.0,35.0,12.0,9.0,5.0,11.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4735.0,4344.0,5165.0,5349.0,4956.0,4874.0,4928.0,5380.0,5199.0,5090.0,4993.0,4887.0,4342.0,3675.0,3428.0,3253.0,3536.0,3235.0,3212.0,2822.0,2353.0,2358.0,2923.0,2988.0,2621.0,2882.0,2873.0,2613.0,2675.0,2972.0,3010.0,3017.0,2795.0,2698.0,2476.0,2851.0
9,12.0,5.847,8.127,8.147,8.133,8.485,9.065,7.541,5.558,7.855,8.086,8.236,8.323,8.39,6.142,4.27,6.247000000000001,5.416,4.543,4.64,5.033,2.1919999999999997,0.865,2.741,2.412,2.542,2.301,2.278,0.655,0.142,1.264,1.385,1.6909999999999998,1.919,1.4080000000000001,0.353,0.039,71.0,99.0,100.0,99.0,104.0,111.0,92.0,68.0,96.0,99.0,101.0,102.0,102.0,75.0,52.0,76.0,66.0,55.0,56.0,61.0,26.0,10.0,33.0,29.0,31.0,28.0,27.0,8.0,1.0,15.0,17.0,20.0,23.0,17.0,4.0,0.0,448216.0,471849.0,478867.0,491475.0,476604.0,473093.0,473994.0,470542.0,488402.0,484678.0,481888.0,477395.0,465646.0,450586.0,440176.0,443600.0,457676.0,443087.0,438077.0,404983.0,353145.0,391058.0,423791.0,431097.0,418708.0,426128.0,423223.0,415200.0,433201.0,429357.0,430965.0,428573.0,422439.0,416301.0,404369.0,413138.0
10,13.0,7.651,9.767999999999999,9.738999999999999,9.549,9.845,11.54,10.109,7.459,9.91,9.895,10.235,10.449000000000002,10.295,7.401,4.556,7.337999999999999,6.37,5.615,6.212000000000001,6.771,4.105,1.4269999999999998,3.438,3.165,3.9330000000000003,3.892,4.573,2.699,1.005,3.056,2.448,3.4189999999999996,4.055,3.572,0.8340000000000001,0.212,78.0,100.0,99.0,97.0,100.0,118.0,103.0,76.0,101.0,101.0,104.0,106.0,105.0,75.0,46.0,75.0,65.0,57.0,63.0,69.0,42.0,14.0,35.0,32.0,40.0,39.0,46.0,27.0,10.0,31.0,25.0,35.0,41.0,36.0,8.0,2.0,234185.0,249871.0,254964.0,262336.0,252180.0,247118.0,246809.0,241681.0,255226.0,253415.0,252274.0,249454.0,243546.0,235973.0,229316.0,233332.0,241114.0,234785.0,231545.0,216529.0,190822.0,211168.0,228711.0,235572.0,228497.0,232158.0,231531.0,227222.0,233682.0,235463.0,234579.0,233345.0,232891.0,228651.0,219617.0,225539.0
11,15.0,4.614,6.59,6.7620000000000005,6.778,7.105,7.5089999999999995,6.541,5.32,6.745,7.166,6.95,6.587000000000001,7.646,6.21,4.546,5.6,4.715,4.97,3.222,4.882,2.369,1.62,3.1010000000000004,1.994,1.645,1.054,1.5030000000000001,0.424,0.059000000000000004,1.1840000000000002,1.301,1.4669999999999999,1.436,1.9609999999999999,0.787,0.17800000000000002,68.0,97.0,99.0,100.0,104.0,110.0,96.0,78.0,99.0,105.0,102.0,97.0,112.0,91.0,67.0,82.0,69.0,73.0,47.0,72.0,34.0,23.0,45.0,29.0,24.0,15.0,22.0,6.0,0.0,17.0,19.0,21.0,21.0,28.0,11.0,2.0,19945.0,20876.0,21151.0,21408.0,20794.0,20711.0,20913.0,21075.0,21637.0,21525.0,21774.0,20195.0,20633.0,20255.0,19743.0,19870.0,20330.0,19810.0,17037.0,17390.0,15037.0,17330.0,17918.0,18123.0,17280.0,17364.0,17374.0,17154.0,18316.0,17653.0,18085.0,17479.0,17647.0,17646.0,17409.0,17331.0
12,16.0,2.5660000000000003,5.3389999999999995,5.396,5.454,5.891,6.319,4.552,2.806,5.331,5.587999999999999,5.7379999999999995,5.8,6.192,3.387,1.705,4.737,4.187,3.865,3.595,4.0169999999999995,1.936,0.84,2.7289999999999996,2.639,2.414,1.483,1.685,0.35200000000000004,0.044000000000000004,1.063,1.077,1.162,1.209,1.713,0.409,0.044000000000000004,47.0,97.0,98.0,100.0,108.0,115.0,83.0,51.0,97.0,102.0,105.0,106.0,113.0,62.0,31.0,86.0,76.0,70.0,65.0,73.0,35.0,15.0,50.0,48.0,44.0,27.0,30.0,6.0,0.0,19.0,19.0,21.0,22.0,31.0,7.0,0.0,25095.0,26229.0,26614.0,27250.0,26249.0,25661.0,26044.0,25952.0,26828.0,26484.0,26700.0,26030.0,25661.0,24893.0,24559.0,25037.0,25755.0,25313.0,24749.0,24006.0,21598.0,23625.0,24794.0,25901.0,25025.0,25598.0,25349.0,25247.0,26091.0,26288.0,26591.0,27116.0,26415.0,26111.0,25637.0,26298.0
13,17.0,5.142,7.0920000000000005,7.263,7.255,7.506,8.22,7.032,5.052,6.599,7.067,7.182,7.147,7.233,4.398,2.8680000000000003,4.977,3.582,2.678,2.574,3.722,0.762,0.038,0.42700000000000005,0.696,1.268,0.805,1.1440000000000001,0.1,0.046,0.736,0.7120000000000001,1.03,1.209,1.642,0.292,0.077,70.0,97.0,100.0,99.0,103.0,113.0,96.0,69.0,90.0,97.0,98.0,98.0,99.0,60.0,39.0,68.0,49.0,36.0,35.0,51.0,10.0,0.0,5.0,9.0,17.0,11.0,15.0,1.0,0.0,10.0,9.0,14.0,16.0,22.0,4.0,1.0,230203.0,241730.0,247251.0,253725.0,246790.0,242530.0,242209.0,242810.0,249928.0,247305.0,246489.0,244335.0,238507.0,230187.0,224914.0,226573.0,236559.0,227145.0,226680.0,206219.0,177646.0,198647.0,223431.0,229114.0,221719.0,226648.0,228766.0,228719.0,231442.0,232459.0,228947.0,228163.0,226523.0,224455.0,217988.0,225546.0
14,18.0,5.497000000000001,7.8839999999999995,8.322000000000001,8.167,8.579,9.539,7.864,5.651,7.625,7.817,8.002,8.015,8.453,4.84,3.41,6.232,5.303999999999999,4.346,4.388,5.0969999999999995,1.692,0.26,3.1439999999999997,2.6719999999999997,1.6019999999999999,1.686,1.939,0.298,0.068,1.463,1.422,1.604,2.224,2.8939999999999997,0.72,0.11699999999999999,66.0,94.0,100.0,98.0,103.0,114.0,94.0,67.0,91.0,93.0,96.0,96.0,101.0,58.0,40.0,74.0,63.0,52.0,52.0,61.0,20.0,3.0,37.0,32.0,19.0,20.0,23.0,3.0,0.0,17.0,17.0,19.0,26.0,34.0,8.0,1.0,125061.0,131429.0,133980.0,138517.0,133461.0,130719.0,129982.0,128443.0,135341.0,133970.0,133136.0,132459.0,128105.0,123010.0,120169.0,122388.0,127297.0,123965.0,123661.0,115803.0,100600.0,112398.0,121802.0,125629.0,121397.0,124313.0,124496.0,125777.0,128181.0,127367.0,127060.0,127125.0,125911.0,124219.0,121070.0,123577.0
